,num_vars,names,bounds,sample_scaled
114,1560,EX_mercplaccys_e,"[-10, 0]",True
115,1560,EX_mthgxl_e,"[-10, 0]",True
116,1560,EX_nad_e,"[-10, 0]",True
117,1560,EX_nadp_e,"[-10, 0]",True
118,1560,EX_nifedipine_e,"[-10, 0]",True
119,1560,EX_npthl_e,"[-10, 0]",True
120,1560,EX_nrpphr_e,"[-10, 0]",True
121,1560,EX_oagd3_hs_e,"[-10, 0]",True
122,1560,EX_oagt3_hs_e,"[-10, 0]",True
123,1560,EX_ocdca_e,"[-10, 0]",True
124,1560,EX_ocdcea_e,"[-10, 0]",True
125,1560,EX_octa_e,"[-10, 0]",True
126,1560,EX_onpthl_e,"[-10, 0]",True
127,1560,EX_oxa_e,"[-10, 0]",True
128,1560,EX_paf_hs_e,"[-10, 0]",True
129,1560,EX_pchol_hs_e,"[-10, 0]",True
130,1560,EX_perillyl_e,"[-10, 0]",True
131,1560,EX_pheacgln_e,"[-10, 0]",True
132,1560,EX_phllqne_e,"[-10, 0]",True
133,1560,EX_phyt_e,"[-10, 0]",True
134,1560,EX_prostgd2_e,"[-10, 0]",True
135,1560,EX_prostge2_e,"[-10, 0]",True
136,1560,EX_prostgf2_e,"[-10, 0]",True
137,1560,EX_ps_hs_e,"[-10, 0]",True
138,1560,EX_retfa_e,"[-10, 0]",True
139,1560,EX_retinol_e,"[-10, 0]",True
140,1560,EX_Rtotal2_e,"[-10, 0]",True
141,1560,EX_Rtotal3_e,"[-10, 0]",True
142,1560,EX_s2l2n2m2masn_e,"[-10, 0]",True
143,1560,EX_sarcs_e,"[-10, 0]",True
144,1560,EX_spc_hs_e,"[-10, 0]",True
145,1560,EX_sph1p_e,"[-10, 0]",True
146,1560,EX_strdnc_e,"[-10, 0]",True
147,1560,EX_tag_hs_e,"[-10, 0]",True
148,1560,EX_taxol_e,"[-10, 0]",True
149,1560,EX_tchola_e,"[-10, 0]",True
150,1560,EX_tcynt_e,"[-10, 0]",True
151,1560,EX_tdchola_e,"[-10, 0]",True
152,1560,EX_tetpent3_e,"[-10, 0]",True
153,1560,EX_tetpent6_e,"[-10, 0]",True
154,1560,EX_thmmp_e,"[-10, 0]",True
155,1560,EX_thym_e,"[-10, 0]",True
156,1560,EX_triodthy_e,"[-10, 0]",True
157,1560,EX_triodthysuf_e,"[-10, 0]",True
158,1560,EX_tststeroneglc_e,"[-10, 0]",True
159,1560,EX_tststerones_e,"[-10, 0]",True
160,1560,EX_ttdca_e,"[-10, 0]",True
161,1560,EX_tymsf_e,"[-10, 0]",True
162,1560,EX_Tyr_ggn_e,"[-10, 0]",True
163,1560,EX_udp_e,"[-10, 0]",True
164,1560,EX_vitd3_e,"[-10, 0]",True
165,1560,EX_whddca_e,"[-10, 0]",True
166,1560,EX_whhdca_e,"[-10, 0]",True
167,1560,EX_whttdca_e,"[-10, 0]",True
168,1560,EX_xoltri25_e,"[-10, 0]",True
169,1560,EX_xoltri27_e,"[-10, 0]",True
170,1560,EX_4abutn_e,"[-10, 0]",True
171,1560,EX_acmana_e,"[-10, 0]",True
172,1560,EX_ahdt_e,"[-10, 0]",True
173,1560,EX_dgmp_e,"[-10, 0]",True
174,1560,EX_dgtp_e,"[-10, 0]",True
175,1560,EX_dha_e,"[-10, 0]",True
176,1560,EX_dhap_e,"[-10, 0]",True
177,1560,EX_dttp_e,"[-10, 0]",True
178,1560,EX_isomal_e,"[-10, 0]",True
179,1560,EX_HC00250_e,"[-10, 0]",True
180,1560,EX_HC01361_e,"[-10, 0]",True
181,1560,EX_HC01440_e,"[-10, 0]",True
182,1560,EX_HC01446_e,"[-10, 0]",True
183,1560,EX_HC01577_e,"[-10, 0]",True
184,1560,EX_HC02160_e,"[-10, 0]",True
185,1560,EX_orot_e,"[-10, 0]",True
186,1560,EX_udpg_e,"[-10, 0]",True
187,1560,EX_so3_e,"[-10, 0]",True
188,1560,EX_CE2250_e,"[-10, 0]",True
189,1560,EX_CE1935_e,"[-10, 0]",True
190,1560,EX_CE1943_e,"[-10, 0]",True
191,1560,EX_CE1939_e,"[-10, 0]",True
192,1560,EX_CE2915_e,"[-10, 0]",True
193,1560,EX_CE4722_e,"[-10, 0]",True
194,1560,EX_CE4723_e,"[-10, 0]",True
195,1560,EX_prostgh2_e,"[-10, 0]",True
196,1560,EX_citr__L_e,"[-10, 0]",True
197,1560,EX_HC00822_e,"[-10, 0]",True
198,1560,EX_C02528_e,"[-10, 0]",True
199,1560,EX_HC02192_e,"[-10, 0]",True
200,1560,EX_HC02195_e,"[-10, 0]",True
201,1560,EX_HC02191_e,"[-10, 0]",True
202,1560,EX_HC02198_e,"[-10, 0]",True
203,1560,EX_HC02203_e,"[-10, 0]",True
204,1560,EX_HC02204_e,"[-10, 0]",True
205,1560,EX_HC02205_e,"[-10, 0]",True
206,1560,EX_HC02206_e,"[-10, 0]",True
207,1560,EX_HC02207_e,"[-10, 0]",True
208,1560,EX_HC02213_e,"[-10, 0]",True
209,1560,EX_HC02217_e,"[-10, 0]",True
210,1560,EX_arachcoa_e,"[-10, 0]",True
211,1560,EX_coa_e,"[-10, 0]",True
212,1560,EX_CE4724_e,"[-10, 0]",True
213,1560,EX_malthp_e,"[-10, 0]",True
214,1560,EX_CE2838_e,"[-10, 0]",True
215,1560,EX_cynt_e,"[-10, 0]",True
216,1560,EX_3ump_e,"[-10, 0]",True
217,1560,EX_CE5786_e,"[-10, 0]",True
218,1560,EX_CE5797_e,"[-10, 0]",True
219,1560,EX_CE5787_e,"[-10, 0]",True
220,1560,EX_CE5868_e,"[-10, 0]",True
221,1560,EX_CE4881_e,"[-10, 0]",True
222,1560,EX_CE5854_e,"[-10, 0]",True
223,1560,EX_cdpea_e,"[-10, 0]",True
224,1560,EX_CE5853_e,"[-10, 0]",True
225,1560,EX_CE1925_e,"[-10, 0]",True
226,1560,EX_3hdececrn_e,"[-10, 0]",True
227,1560,EX_3ivcrn_e,"[-10, 0]",True
228,1560,EX_3thexddcoacrn_e,"[-10, 0]",True
229,1560,EX_c101crn_e,"[-10, 0]",True
230,1560,EX_c10crn_e,"[-10, 0]",True
231,1560,EX_c10dc_e,"[-10, 0]",True
232,1560,EX_c12dc_e,"[-10, 0]",True
233,1560,EX_c3dc_e,"[-10, 0]",True
234,1560,EX_c4dc_e,"[-10, 0]",True
235,1560,EX_c5dc_e,"[-10, 0]",True
236,1560,EX_c6crn_e,"[-10, 0]",True
237,1560,EX_c8crn_e,"[-10, 0]",True
238,1560,EX_decdicrn_e,"[-10, 0]",True
239,1560,EX_docosac_e,"[-10, 0]",True
240,1560,EX_docosdiac_e,"[-10, 0]",True
241,1560,EX_dca_e,"[-10, 0]",True
242,1560,EX_dchac_e,"[-10, 0]",True
243,1560,EX_gltdechol_e,"[-10, 0]",True
244,1560,EX_glysar_e,"[-10, 0]",True
245,1560,EX_gumtchol_e,"[-10, 0]",True
246,1560,EX_leugly_e,"[-10, 0]",True
247,1560,EX_leuleu_e,"[-10, 0]",True
248,1560,EX_pect_e,"[-10, 0]",True
249,1560,EX_pectingchol_e,"[-10, 0]",True
250,1560,EX_pectintchol_e,"[-10, 0]",True
251,1560,EX_psyl_e,"[-10, 0]",True
252,1560,EX_psylchol_e,"[-10, 0]",True
253,1560,EX_psyltchol_e,"[-10, 0]",True
254,1560,EX_slfcys_e,"[-10, 0]",True
255,1560,EX_pan4p_e,"[-10, 0]",True
256,1560,EX_ptth_e,"[-10, 0]",True
257,1560,EX_q10h2_e,"[-10, 0]",True
258,1560,EX_4hpro_LT_e,"[-10, 0]",True
259,1560,EX_bglc_e,"[-10, 0]",True
260,1560,EX_carn_e,"[-10, 0]",True
261,1560,EX_glgchlo_e,"[-10, 0]",True
262,1560,EX_crtn_e,"[-10, 0]",True
263,1560,EX_cyst__L_e,"[-10, 0]",True
264,1560,EX_dcmp_e,"[-10, 0]",True
265,1560,EX_34hpp_e,"[-10, 0]",True
266,1560,EX_glyald_e,"[-10, 0]",True
267,1560,EX_3mob_e,"[-10, 0]",True
268,1560,EX_3mop_e,"[-10, 0]",True
269,1560,EX_ahcys_e,"[-10, 0]",True
270,1560,EX_aicar_e,"[-10, 0]",True
271,1560,EX_anth_e,"[-10, 0]",True
272,1560,EX_icit_e,"[-10, 0]",True
