#query	mnx_id	reference	xrefs	name
GART	MNXR166374	rheaR:24829	bigg.reaction:GART ... bigg.reaction:R_GART ... biggR:GART ... biggR:R_GART ... deprecated:MNXR188097 ... deprecated:MNXR188098 ... kegg.reaction:R06974 ... keggR:R06974 ... metacyc.reaction:GARTRANSFORMYL2-RXN ... metacycR:GARTRANSFORMYL2-RXN ... rhea:24829 ... rhea:24830 ... rhea:24831 ... rhea:24832 ... rheaR:24829 ... rheaR:24830 ... rheaR:24831 ... rheaR:24832 ... sabiork.reaction:7480 ... sabiorkR:7480 ... seed.reaction:rxn04783 ... seed.reaction:rxn32430 ... seedR:rxn04783 ... seedR:rxn32430	1 MNXM1094915@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM40333@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM1104522@MNXD1 + 1 MNXM39@MNXD1 + 1 MNXM3@MNXD1
GCALDD	MNXR100060	rheaR:20001	bigg.reaction:GCALDD ... bigg.reaction:GCALDDm ... bigg.reaction:R_GCALDD ... bigg.reaction:R_GCALDDm ... biggR:GCALDD ... biggR:GCALDDm ... biggR:R_GCALDD ... biggR:R_GCALDDm ... deprecated:MNXR2565 ... kegg.reaction:R01333 ... keggR:R01333 ... metacyc.reaction:GLYCOLALD-DEHYDROG-RXN ... metacycR:GLYCOLALD-DEHYDROG-RXN ... rhea:20001 ... rhea:20002 ... rhea:20003 ... rhea:20004 ... rheaR:20001 ... rheaR:20002 ... rheaR:20003 ... rheaR:20004 ... sabiork.reaction:434 ... sabiorkR:434 ... seed.reaction:rxn00979 ... seed.reaction:rxn31785 ... seedR:rxn00979 ... seedR:rxn31785	1 MNXM10@MNXD1 + 2 MNXM1@MNXD1 + 1 MNXM222@MNXD1 = 1 MNXM734590@MNXD1 + 1 MNXM8@MNXD1 + 1 WATER@MNXD1
GCALDL				
GCALDt	MNXR100061	seedR:rxn09680	bigg.reaction:EX_gcald_e ... bigg.reaction:GCALDt ... bigg.reaction:GCALDtm ... bigg.reaction:R_EX_gcald_e ... bigg.reaction:R_GCALDt ... bigg.reaction:R_GCALDtm ... bigg.reaction:R_SK_gcald_c ... bigg.reaction:SK_gcald_c ... biggR:EX_gcald_e ... biggR:GCALDt ... biggR:GCALDtm ... biggR:R_EX_gcald_e ... biggR:R_GCALDt ... biggR:R_GCALDtm ... biggR:R_SK_gcald_c ... biggR:SK_gcald_c ... deprecated:MNXR2566 ... deprecated:MNXR98561 ... seed.reaction:rxn09680 ... seed.reaction:rxn09752 ... seed.reaction:rxn38746 ... seedR:rxn09680 ... seedR:rxn09752 ... seedR:rxn38746	1 MNXM734590@MNXD1 = 1 MNXM734590@MNXD2
GCCa	MNXR144960	biggR:GCCa	bigg.reaction:GCCa ... bigg.reaction:GCCam ... bigg.reaction:GLYDHD ... bigg.reaction:R_GCCa ... bigg.reaction:R_GCCam ... bigg.reaction:R_GLYDHD ... biggR:GCCa ... biggR:GCCam ... biggR:GLYDHD ... biggR:R_GCCa ... biggR:R_GCCam ... biggR:R_GLYDHD ... deprecated:MNXR100067	1 MNXM13@MNXD1 + 1 MNXM740461@MNXD1 = 1 MNXM29@MNXD1 + 1 MNXM741247@MNXD1
GCCb	MNXR144964	biggR:GCCb	bigg.reaction:GCCb ... bigg.reaction:GCCbim ... bigg.reaction:MTAM_nh4 ... bigg.reaction:R_GCCb ... bigg.reaction:R_GCCbim ... bigg.reaction:R_MTAM_nh4 ... biggR:GCCb ... biggR:GCCbim ... biggR:MTAM_nh4 ... biggR:R_GCCb ... biggR:R_GCCbim ... biggR:R_MTAM_nh4 ... deprecated:MNXR100068	1 MNXM1102150@MNXD1 + 1 MNXM729302@MNXD1 + 1 MNXM731214@MNXD1 = 1 MNXM1103936@MNXD1 + 1 MNXM740461@MNXD1
GCCc	MNXR144966	biggR:GCCc	bigg.reaction:GCCc ... bigg.reaction:GCCcm ... bigg.reaction:R_GCCc ... bigg.reaction:R_GCCcm ... biggR:GCCc ... biggR:GCCcm ... biggR:R_GCCc ... biggR:R_GCCcm ... deprecated:MNXR100069	1 MNXM10@MNXD1 + 1 MNXM741247@MNXD1 = 1 MNXM731214@MNXD1 + 1 MNXM8@MNXD1
GF6PTA	MNXR144996	rheaR:13237	bigg.reaction:GF6PTA ... bigg.reaction:R_GF6PTA ... biggR:GF6PTA ... biggR:R_GF6PTA ... deprecated:MNXR100107 ... deprecated:MNXR106675 ... deprecated:MNXR189624 ... deprecated:MNXR189625 ... kegg.reaction:R00768 ... keggR:R00768 ... metacyc.reaction:L-GLN-FRUCT-6-P-AMINOTRANS-RXN ... metacycR:L-GLN-FRUCT-6-P-AMINOTRANS-RXN ... rhea:13237 ... rhea:13238 ... rhea:13239 ... rhea:13240 ... rheaR:13237 ... rheaR:13238 ... rheaR:13239 ... rheaR:13240 ... seed.reaction:rxn00555 ... seed.reaction:rxn15064 ... seed.reaction:rxn32367 ... seed.reaction:rxn32369 ... seed.reaction:rxn32371 ... seedR:rxn00555 ... seedR:rxn15064 ... seedR:rxn32367 ... seedR:rxn32369 ... seedR:rxn32371	1 MNXM1104065@MNXD1 + 1 MNXM741173@MNXD1 = 1 MNXM1107898@MNXD1 + 1 MNXM37@MNXD1
GGTA				
GGTT	MNXR145010	biggR:GGTT	bigg.reaction:GGTT ... bigg.reaction:R_GGTT ... biggR:GGTT ... biggR:R_GGTT ... deprecated:MNXR100137	1 MNXM11@MNXD1 + 1 MNXM732670@MNXD1 = 1 MNXM728266@MNXD1 + 1 MNXM83@MNXD1
