#query	mnx_id	reference	xrefs	name
AGPR	MNXR95530	rheaR:21588	bigg.reaction:AGPR ... bigg.reaction:AGPR_h ... bigg.reaction:AGPRim ... bigg.reaction:R_AGPR ... bigg.reaction:R_AGPR_h ... bigg.reaction:R_AGPRim ... biggR:AGPR ... biggR:AGPR_h ... biggR:AGPRim ... biggR:R_AGPR ... biggR:R_AGPR_h ... biggR:R_AGPRim ... deprecated:MNXR571 ... deprecated:MNXR76396 ... kegg.reaction:R03443 ... keggR:R03443 ... metacyc.reaction:N-ACETYLGLUTPREDUCT-RXN ... metacycR:N-ACETYLGLUTPREDUCT-RXN ... rhea:21588 ... rhea:21589 ... rhea:21590 ... rhea:21591 ... rheaR:21588 ... rheaR:21589 ... rheaR:21590 ... rheaR:21591 ... seed.reaction:rxn02465 ... seed.reaction:rxn28002 ... seed.reaction:rxn30339 ... seedR:rxn02465 ... seedR:rxn28002 ... seedR:rxn30339	1 MNXM1062@MNXD1 + 1 MNXM5@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM1384@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM738702@MNXD1
AGTi	MNXR95618	rheaR:24248	bigg.reaction:AGTi ... bigg.reaction:AGTim ... bigg.reaction:AGTix ... bigg.reaction:R_AGTi ... bigg.reaction:R_AGTim ... bigg.reaction:R_AGTix ... biggR:AGTi ... biggR:AGTim ... biggR:AGTix ... biggR:R_AGTi ... biggR:R_AGTim ... biggR:R_AGTix ... deprecated:MNXR124339 ... deprecated:MNXR574 ... deprecated:MNXR91016 ... kegg.reaction:R00369 ... keggR:R00369 ... metacyc.reaction:ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN ... metacycR:ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN ... rhea:24248 ... rhea:24249 ... rhea:24250 ... rhea:24251 ... rheaR:24248 ... rheaR:24249 ... rheaR:24250 ... rheaR:24251 ... sabiork.reaction:836 ... sabiorkR:836 ... seed.reaction:rxn00272 ... seed.reaction:rxn27694 ... seed.reaction:rxn27695 ... seed.reaction:rxn32557 ... seedR:rxn00272 ... seedR:rxn27694 ... seedR:rxn27695 ... seedR:rxn32557	1 MNXM1105732@MNXD1 + 1 MNXM69@MNXD1 = 1 MNXM23@MNXD1 + 1 MNXM29@MNXD1
AHCYSNS_r				
AHMMPS	MNXR136111	seedR:rxn09633	bigg.reaction:AHMMPS ... bigg.reaction:R_AHMMPS ... biggR:AHMMPS ... biggR:R_AHMMPS ... deprecated:MNXR68324 ... deprecated:MNXR95632 ... seed.reaction:rxn09633 ... seedR:rxn09633	1 MNXM1104899@MNXD1 + 1 MNXM734590@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM1105983@MNXD1
AHSERL2	MNXR152923	biggR:AHHST	bigg.reaction:AHHST ... bigg.reaction:AHSERL2 ... bigg.reaction:AHSERL2_1 ... bigg.reaction:R_AHHST ... bigg.reaction:R_AHSERL2 ... bigg.reaction:R_AHSERL2_1 ... biggR:AHHST ... biggR:AHSERL2 ... biggR:AHSERL2_1 ... biggR:R_AHHST ... biggR:R_AHSERL2 ... biggR:R_AHSERL2_1 ... deprecated:MNXR95631	1 MNXM123@MNXD1 + 1 MNXM26@MNXD1 = 1 MNXM124865@MNXD1 + 1 MNXM739518@MNXD1
AHSERL3	MNXR95635	biggR:AHSERL3	bigg.reaction:AHSERL3 ... bigg.reaction:R_AHSERL3 ... biggR:AHSERL3 ... biggR:R_AHSERL3	1 MNXM26@MNXD1 + 1 MNXM732925@MNXD1 = 1 MNXM418@MNXD1 + 1 MNXM741486@MNXD1
AICART	MNXR190625	rheaR:22192	bigg.reaction:AICART ... bigg.reaction:R_AICART ... biggR:AICART ... biggR:R_AICART ... deprecated:MNXR190626 ... deprecated:MNXR190627 ... deprecated:MNXR95639 ... kegg.reaction:R04560 ... keggR:R04560 ... rhea:22192 ... rhea:22193 ... rhea:22194 ... rhea:22195 ... rheaR:22192 ... rheaR:22193 ... rheaR:22194 ... rheaR:22195 ... sabiork.reaction:122 ... sabiorkR:122 ... seed.reaction:rxn03137 ... seed.reaction:rxn27692 ... seedR:rxn03137 ... seedR:rxn27692	1 MNXM1102376@MNXD1 + 1 MNXM1103365@MNXD1 = 1 MNXM1103936@MNXD1 + 1 MNXM1104518@MNXD1
AIHDUDPMG				
AIHDUPDG				
AIHPDCOATA				
AIPDCOATA				
AIPDUDPG				
AIPDUDPMG				
AIRC4	MNXR134814	seedR:rxn05229	bigg.reaction:AIRC4 ... bigg.reaction:R_AIRC4 ... biggR:AIRC4 ... biggR:R_AIRC4 ... deprecated:MNXR154514 ... deprecated:MNXR66706 ... deprecated:MNXR79878 ... seed.reaction:rxn05229 ... seedR:rxn05229	1 MNXM1105983@MNXD1 + 1 MNXM3@MNXD1 + 1 MNXM60@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM40333@MNXD1 + 1 MNXM737371@MNXD1 + 1 MNXM9@MNXD1
AKP1	MNXR151842	biggR:AKP1	bigg.reaction:AKP1 ... bigg.reaction:AKP1_1 ... bigg.reaction:AKP1_2 ... bigg.reaction:R_AKP1 ... bigg.reaction:R_AKP1_1 ... bigg.reaction:R_AKP1_2 ... biggR:AKP1 ... biggR:AKP1_1 ... biggR:AKP1_2 ... biggR:R_AKP1 ... biggR:R_AKP1_1 ... biggR:R_AKP1_2 ... deprecated:MNXR139295	2 MNXM1@MNXD1 + 1 MNXM730300@MNXD1 + 3 MNXM9@MNXD1 = 1 MNXM397@MNXD1 + 3 WATER@MNXD1
ALAALA				
ALAASP1c				
ALAASPabc				
ALACI				
ALAD_L	MNXR154530	rheaR:18405	bigg.reaction:ALAD_L ... bigg.reaction:ALAD_L2 ... bigg.reaction:R_ALAD_L ... bigg.reaction:R_ALAD_L2 ... biggR:ALAD_L ... biggR:ALAD_L2 ... biggR:R_ALAD_L ... biggR:R_ALAD_L2 ... deprecated:MNXR95687 ... kegg.reaction:R00396 ... keggR:R00396 ... metacyc.reaction:ALANINE-DEHYDROGENASE-RXN ... metacycR:ALANINE-DEHYDROGENASE-RXN ... rhea:18405 ... rhea:18406 ... rhea:18407 ... rhea:18408 ... rheaR:18405 ... rheaR:18406 ... rheaR:18407 ... rheaR:18408 ... sabiork.reaction:857 ... sabiorkR:857 ... seed.reaction:rxn00278 ... seed.reaction:rxn30302 ... seedR:rxn00278 ... seedR:rxn30302	1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM23@MNXD1 + 1 MNXM729302@MNXD1 = 1 MNXM1105732@MNXD1 + 1 MNXM8@MNXD1 + 1 WATER@MNXD1
ALAGLN1c				
ALAGLNabc				
ALAGLU1c				
ALAGLUabc				
ALAGLY1c				
ALAGLYabc				
ALAHIS1c				
ALAHISabc				
ALALEU1c				
ALALEUabc				
ALAPGPL				
