#query	mnx_id	reference	xrefs	name
12DGR180ti				
13PPDHr				
13PPDt				
23DHMPO				
23PDE2				
23PDE4				
23PDE7				
23PDE9				
26DAPLLATi				
2AHBUTI				
2MBCOATA				
2MBUTt2r				
2MECOAOX				
34DHPHAt2r				
3BTCOAI				
3HAD100	MNXR152617	biggR:3HAD100	bigg.reaction:3HAD100 ... bigg.reaction:3HAD100_1 ... bigg.reaction:3HAD101_m ... bigg.reaction:R_3HAD100 ... bigg.reaction:R_3HAD100_1 ... bigg.reaction:R_3HAD101_m ... biggR:3HAD100 ... biggR:3HAD100_1 ... biggR:3HAD101_m ... biggR:R_3HAD100 ... biggR:R_3HAD100_1 ... biggR:R_3HAD101_m ... deprecated:MNXR94876	1 MNXM728730@MNXD1 = 1 MNXM733432@MNXD1 + 1 WATER@MNXD1
3HAD10M11				
3HAD10M12				
3HAD11M12				
3HAD120	MNXR152620	biggR:3HAD120	bigg.reaction:3HAD120 ... bigg.reaction:3HAD120_1 ... bigg.reaction:3HAD121_m ... bigg.reaction:R_3HAD120 ... bigg.reaction:R_3HAD120_1 ... bigg.reaction:R_3HAD121_m ... biggR:3HAD120 ... biggR:3HAD120_1 ... biggR:3HAD121_m ... biggR:R_3HAD120 ... biggR:R_3HAD120_1 ... biggR:R_3HAD121_m ... deprecated:MNXR94877	1 MNXM728708@MNXD1 + 1 WATER@MNXD1 = 1 MNXM733304@MNXD1
3HAD12M13				
3HAD12M14				
3HAD13M14				
3HAD140	MNXR152623	biggR:3HAD140	bigg.reaction:3HAD140 ... bigg.reaction:3HAD140_1 ... bigg.reaction:3HAD141_m ... bigg.reaction:R_3HAD140 ... bigg.reaction:R_3HAD140_1 ... bigg.reaction:R_3HAD141_m ... biggR:3HAD140 ... biggR:3HAD140_1 ... biggR:3HAD141_m ... biggR:R_3HAD140 ... biggR:R_3HAD140_1 ... biggR:R_3HAD141_m ... deprecated:MNXR94879	1 MNXM728567@MNXD1 = 1 MNXM728721@MNXD1 + 1 WATER@MNXD1
3HAD14M15				
3HAD14M16				
3HAD15M16				
3HAD160	MNXR152627	biggR:3HAD160	bigg.reaction:3HAD160 ... bigg.reaction:3HAD160_1 ... bigg.reaction:3HAD161_m ... bigg.reaction:R_3HAD160 ... bigg.reaction:R_3HAD160_1 ... bigg.reaction:R_3HAD161_m ... biggR:3HAD160 ... biggR:3HAD160_1 ... biggR:3HAD161_m ... biggR:R_3HAD160 ... biggR:R_3HAD160_1 ... biggR:R_3HAD161_m ... deprecated:MNXR94881	1 MNXM728711@MNXD1 + 1 WATER@MNXD1 = 1 MNXM733096@MNXD1
3HAD180	MNXR152629	biggR:3HAD180	bigg.reaction:3HAD180 ... bigg.reaction:3HAD180_1 ... bigg.reaction:R_3HAD180 ... bigg.reaction:R_3HAD180_1 ... biggR:3HAD180 ... biggR:3HAD180_1 ... biggR:R_3HAD180 ... biggR:R_3HAD180_1 ... deprecated:MNXR94883	1 MNXM728718@MNXD1 + 1 WATER@MNXD1 = 1 MNXM735180@MNXD1
3HAD40	MNXR152632	biggR:3HAD40	bigg.reaction:3HAD40 ... bigg.reaction:3HAD40c ... bigg.reaction:R_3HAD40 ... bigg.reaction:R_3HAD40c ... biggR:3HAD40 ... biggR:3HAD40c ... biggR:R_3HAD40 ... biggR:R_3HAD40c ... deprecated:MNXR94885	1 MNXM728705@MNXD1 + 1 WATER@MNXD1 = 1 MNXM738485@MNXD1
3HAD4M5				
3HAD4M6				
3HAD5M6				
