#query	mnx_id	reference	xrefs	name
CDPGLYCGPT				
CLPNS180	MNXR96787	biggR:CLPNS180	bigg.reaction:CLPNS180 ... bigg.reaction:CLPNS180pp ... bigg.reaction:R_CLPNS180 ... bigg.reaction:R_CLPNS180pp ... biggR:CLPNS180 ... biggR:CLPNS180pp ... biggR:R_CLPNS180 ... biggR:R_CLPNS180pp ... deprecated:MNXR1210	2 MNXM1@MNXD1 + 1 MNXM5079@MNXD1 + 1 MNXM89612@MNXD1 = 2 MNXM737492@MNXD1
CLPNSAI15				
CLPNSAI17				
CLPNSI14				
CLPNSI15				
CLPNSI16				
CLPNSI17				
CO2t	MNXR96810	seedR:rxn05467	bigg.reaction:CO2t ... bigg.reaction:CO2ter ... bigg.reaction:CO2tex ... bigg.reaction:CO2tg ... bigg.reaction:CO2th ... bigg.reaction:CO2tm ... bigg.reaction:CO2tn ... bigg.reaction:CO2tp ... bigg.reaction:CO2tpp ... bigg.reaction:CO2tv ... bigg.reaction:EX_co2_e ... bigg.reaction:R_CO2t ... bigg.reaction:R_CO2ter ... bigg.reaction:R_CO2tex ... bigg.reaction:R_CO2tg ... bigg.reaction:R_CO2th ... bigg.reaction:R_CO2tm ... bigg.reaction:R_CO2tn ... bigg.reaction:R_CO2tp ... bigg.reaction:R_CO2tpp ... bigg.reaction:R_CO2tv ... bigg.reaction:R_EX_co2_e ... biggR:CO2t ... biggR:CO2ter ... biggR:CO2tex ... biggR:CO2tg ... biggR:CO2th ... biggR:CO2tm ... biggR:CO2tn ... biggR:CO2tp ... biggR:CO2tpp ... biggR:CO2tv ... biggR:EX_co2_e ... biggR:R_CO2t ... biggR:R_CO2ter ... biggR:R_CO2tex ... biggR:R_CO2tg ... biggR:R_CO2th ... biggR:R_CO2tm ... biggR:R_CO2tn ... biggR:R_CO2tp ... biggR:R_CO2tpp ... biggR:R_CO2tv ... biggR:R_EX_co2_e ... deprecated:MNXR1225 ... deprecated:MNXR98353 ... metacyc.reaction:TRANS-RXN0-545 ... metacycR:TRANS-RXN0-545 ... seed.reaction:rxn05467 ... seed.reaction:rxn08237 ... seed.reaction:rxn08238 ... seed.reaction:rxn09706 ... seed.reaction:rxn09775 ... seed.reaction:rxn09821 ... seed.reaction:rxn09860 ... seed.reaction:rxn09876 ... seed.reaction:rxn31163 ... seed.reaction:rxn33396 ... seedR:rxn05467 ... seedR:rxn08237 ... seedR:rxn08238 ... seedR:rxn09706 ... seedR:rxn09775 ... seedR:rxn09821 ... seedR:rxn09860 ... seedR:rxn09876 ... seedR:rxn31163 ... seedR:rxn33396	1 MNXM13@MNXD1 = 1 MNXM13@MNXD2
COBALTt5	MNXR96821	rheaR:28578	bigg.reaction:COBALT2tex ... bigg.reaction:COBALT2tpp ... bigg.reaction:COBALTt5 ... bigg.reaction:EX_cobalt2_e ... bigg.reaction:R_COBALT2tex ... bigg.reaction:R_COBALT2tpp ... bigg.reaction:R_COBALTt5 ... bigg.reaction:R_EX_cobalt2_e ... biggR:COBALT2tex ... biggR:COBALT2tpp ... biggR:COBALTt5 ... biggR:EX_cobalt2_e ... biggR:R_COBALT2tex ... biggR:R_COBALT2tpp ... biggR:R_COBALTt5 ... biggR:R_EX_cobalt2_e ... deprecated:MNXR1231 ... deprecated:MNXR82021 ... deprecated:MNXR98356 ... metacyc.reaction:TRANS-RXN-141A ... metacycR:TRANS-RXN-141A ... rhea:28578 ... rhea:28579 ... rhea:28580 ... rhea:28581 ... rheaR:28578 ... rheaR:28579 ... rheaR:28580 ... rheaR:28581 ... sabiork.reaction:12148 ... sabiorkR:12148 ... seed.reaction:rxn08241 ... seed.reaction:rxn08242 ... seed.reaction:rxn10474 ... seedR:rxn08241 ... seedR:rxn08242 ... seedR:rxn10474	1 MNXM90960@MNXD1 = 1 MNXM90960@MNXD2
CPC2MT	MNXR153225	biggR:CPC2MT	bigg.reaction:CPC2MT ... bigg.reaction:R_CPC2MT ... biggR:CPC2MT ... biggR:R_CPC2MT ... deprecated:MNXR96832	1 MNXM1102072@MNXD1 + 1 MNXM499659@MNXD1 = 1 MNXM1102167@MNXD1 + 1 MNXM741457@MNXD1
