#query	mnx_id	reference	xrefs	name
SALCpts	MNXR104266	seedR:rxn05647	bigg.reaction:R_SALCpts ... bigg.reaction:R_SALCptspp ... bigg.reaction:SALCpts ... bigg.reaction:SALCptspp ... biggR:R_SALCpts ... biggR:R_SALCptspp ... biggR:SALCpts ... biggR:SALCptspp ... deprecated:MNXR55898 ... seed.reaction:rxn05647 ... seed.reaction:rxn29062 ... seedR:rxn05647 ... seedR:rxn29062	1 MNXM23@MNXD1 + 1 MNXM3356@MNXD1 = 1 MNXM2561@MNXD2 + 1 MNXM73@MNXD1
SBTPD	MNXR191291	rheaR:19837	bigg.reaction:R_SBTPD ... bigg.reaction:SBTPD ... biggR:R_SBTPD ... biggR:SBTPD ... deprecated:MNXR110835 ... deprecated:MNXR145487 ... deprecated:MNXR145488 ... deprecated:MNXR146388 ... kegg.reaction:R05607 ... kegg.reaction:R07133 ... keggR:R05607 ... keggR:R07133 ... rhea:19837 ... rhea:19838 ... rhea:19839 ... rhea:19840 ... rheaR:19837 ... rheaR:19838 ... rheaR:19839 ... rheaR:19840 ... seed.reaction:rxn39507 ... seedR:rxn39507	1 MNXM10@MNXD1 + 1 MNXM1107898@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM1104463@MNXD1 + 1 MNXM8@MNXD1
SBTpts	MNXR192038	biggR:SBTpts	bigg.reaction:R_SBTpts ... bigg.reaction:R_SBTptspp ... bigg.reaction:SBTpts ... bigg.reaction:SBTptspp ... biggR:R_SBTpts ... biggR:R_SBTptspp ... biggR:SBTpts ... biggR:SBTptspp ... deprecated:MNXR146392 ... deprecated:MNXR178646	1 MNXM1104463@MNXD1 + 1 MNXM23@MNXD1 = 1 MNXM736685@MNXD2 + 1 MNXM73@MNXD1
SELNPS	MNXR146403	rheaR:18737	bigg.reaction:R_SELNPS ... bigg.reaction:R_SELNPS_cho ... bigg.reaction:R_SLDK ... bigg.reaction:SELNPS ... bigg.reaction:SELNPS_cho ... bigg.reaction:SLDK ... biggR:R_SELNPS ... biggR:R_SELNPS_cho ... biggR:R_SLDK ... biggR:SELNPS ... biggR:SELNPS_cho ... biggR:SLDK ... deprecated:MNXR104322 ... kegg.reaction:R03595 ... keggR:R03595 ... rhea:18737 ... rhea:18738 ... rhea:18739 ... rhea:18740 ... rheaR:18737 ... rheaR:18738 ... rheaR:18739 ... rheaR:18740 ... seed.reaction:rxn02569 ... seed.reaction:rxn17725 ... seed.reaction:rxn27531 ... seedR:rxn02569 ... seedR:rxn17725 ... seedR:rxn27531	1 MNXM1339@MNXD1 + 2 MNXM1@MNXD1 + 1 MNXM728294@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM741486@MNXD1 + 1 WATER@MNXD1
SERATi				
SERt2r	MNXR104352	rheaR:28887	bigg.reaction:R_SERt2m ... bigg.reaction:R_SERt2r ... bigg.reaction:R_SERt2rpp ... bigg.reaction:R_SERth ... bigg.reaction:SERt2m ... bigg.reaction:SERt2r ... bigg.reaction:SERt2rpp ... bigg.reaction:SERth ... biggR:R_SERt2m ... biggR:R_SERt2r ... biggR:R_SERt2rpp ... biggR:R_SERth ... biggR:SERt2m ... biggR:SERt2r ... biggR:SERt2rpp ... biggR:SERth ... deprecated:MNXR118828 ... deprecated:MNXR4822 ... metacyc.reaction:RXN-14650 ... metacyc.reaction:TRANS-RXN-71 ... metacycR:RXN-14650 ... metacycR:TRANS-RXN-71 ... rhea:28887 ... rhea:28888 ... rhea:28889 ... rhea:28890 ... rheaR:28887 ... rheaR:28888 ... rheaR:28889 ... rheaR:28890 ... sabiork.reaction:13941#1 ... sabiorkR:13941#1 ... seed.reaction:rxn05307 ... seed.reaction:rxn09246 ... seed.reaction:rxn09714 ... seed.reaction:rxn34405 ... seed.reaction:rxn42988 ... seedR:rxn05307 ... seedR:rxn09246 ... seedR:rxn09714 ... seedR:rxn34405 ... seedR:rxn42988	1 MNXM01@MNXD1 + 1 MNXM737787@MNXD1 = 1 MNXM01@MNXD2 + 1 MNXM737787@MNXD2
SGAT	MNXR104361	rheaR:19125	bigg.reaction:R_SGAT ... bigg.reaction:R_SPT_syn ... bigg.reaction:SGAT ... bigg.reaction:SPT_syn ... biggR:R_SGAT ... biggR:R_SPT_syn ... biggR:SGAT ... biggR:SPT_syn ... deprecated:MNXR5465 ... kegg.reaction:R00588 ... keggR:R00588 ... metacyc.reaction:SERINE--GLYOXYLATE-AMINOTRANSFERASE-RXN ... metacyc.reaction:SERINE-GLYOXYLATE-AMINOTRANSFERASE-RXN ... metacycR:SERINE--GLYOXYLATE-AMINOTRANSFERASE-RXN ... metacycR:SERINE-GLYOXYLATE-AMINOTRANSFERASE-RXN ... rhea:19125 ... rhea:19126 ... rhea:19127 ... rhea:19128 ... rheaR:19125 ... rheaR:19126 ... rheaR:19127 ... rheaR:19128 ... sabiork.reaction:987 ... sabiorkR:987 ... seed.reaction:rxn00424 ... seed.reaction:rxn28985 ... seed.reaction:rxn28986 ... seed.reaction:rxn33134 ... seedR:rxn00424 ... seedR:rxn28985 ... seedR:rxn28986 ... seedR:rxn33134	1 MNXM29@MNXD1 + 1 MNXM392@MNXD1 = 1 MNXM69@MNXD1 + 1 MNXM737787@MNXD1
SHCHCC2				
SHCHD2	MNXR146427	keggR:R03947	bigg.reaction:R_SHCHD2 ... bigg.reaction:SHCHD2 ... biggR:R_SHCHD2 ... biggR:SHCHD2 ... deprecated:MNXR104373 ... kegg.reaction:R03947 ... keggR:R03947	1 MNXM10@MNXD1 + 9 MNXM1@MNXD1 + 1 MNXM740871@MNXD1 = 1 MNXM739346@MNXD1 + 1 MNXM8@MNXD1
SHCHF	MNXR146433	rheaR:24360	bigg.reaction:R_SHCHF ... bigg.reaction:R_SHCHF_1 ... bigg.reaction:SHCHF ... bigg.reaction:SHCHF_1 ... biggR:R_SHCHF ... biggR:R_SHCHF_1 ... biggR:SHCHF ... biggR:SHCHF_1 ... deprecated:MNXR104375 ... deprecated:MNXR146434 ... kegg.reaction:R02864 ... keggR:R02864 ... metacyc.reaction:SIROHEME-FERROCHELAT-RXN ... metacycR:SIROHEME-FERROCHELAT-RXN ... rhea:24360 ... rhea:24361 ... rhea:24362 ... rhea:24363 ... rheaR:24360 ... rheaR:24361 ... rheaR:24362 ... rheaR:24363 ... seed.reaction:rxn02056 ... seed.reaction:rxn28987 ... seedR:rxn02056 ... seedR:rxn28987	1 MNXM1104857@MNXD1 + 2 MNXM1@MNXD1 = 1 MNXM726711@MNXD1 + 1 MNXM740871@MNXD1
