#query	mnx_id	reference	xrefs	name
TTDCAtr	MNXR99092	rheaR:45252	bigg.reaction:EX_ttdca_e ... bigg.reaction:FA140tp ... bigg.reaction:FAC140t_c ... bigg.reaction:R_EX_ttdca_e ... bigg.reaction:R_FA140tp ... bigg.reaction:R_FAC140t_c ... bigg.reaction:R_TTDCAtexi ... bigg.reaction:R_TTDCAtr ... bigg.reaction:TTDCAtexi ... bigg.reaction:TTDCAtr ... biggR:EX_ttdca_e ... biggR:FA140tp ... biggR:FAC140t_c ... biggR:R_EX_ttdca_e ... biggR:R_FA140tp ... biggR:R_FAC140t_c ... biggR:R_TTDCAtexi ... biggR:R_TTDCAtr ... biggR:TTDCAtexi ... biggR:TTDCAtr ... deprecated:MNXR128297 ... deprecated:MNXR1956 ... deprecated:MNXR98996 ... rhea:45252 ... rhea:45253 ... rhea:45254 ... rhea:45255 ... rheaR:45252 ... rheaR:45253 ... rheaR:45254 ... rheaR:45255 ... seed.reaction:rxn09331 ... seed.reaction:rxn09654 ... seed.reaction:rxn09852 ... seedR:rxn09331 ... seedR:rxn09654 ... seedR:rxn09852	1 MNXM314@MNXD1 = 1 MNXM314@MNXD2
TYRTA	MNXR105000	rheaR:15093	bigg.reaction:R_TYRTA ... bigg.reaction:R_TYRTAh ... bigg.reaction:R_TYRTAi ... bigg.reaction:R_TYRTAim ... bigg.reaction:R_TYRTAip ... bigg.reaction:TYRTA ... bigg.reaction:TYRTAh ... bigg.reaction:TYRTAi ... bigg.reaction:TYRTAim ... bigg.reaction:TYRTAip ... biggR:R_TYRTA ... biggR:R_TYRTAh ... biggR:R_TYRTAi ... biggR:R_TYRTAim ... biggR:R_TYRTAip ... biggR:TYRTA ... biggR:TYRTAh ... biggR:TYRTAi ... biggR:TYRTAim ... biggR:TYRTAip ... deprecated:MNXR32524 ... deprecated:MNXR84366 ... kegg.reaction:R00734 ... keggR:R00734 ... metacyc.reaction:TYROSINE-AMINOTRANSFERASE-RXN ... metacycR:TYROSINE-AMINOTRANSFERASE-RXN ... rhea:15093 ... rhea:15094 ... rhea:15095 ... rhea:15096 ... rheaR:15093 ... rheaR:15094 ... rheaR:15095 ... rheaR:15096 ... sabiork.reaction:1097 ... sabiorkR:1097 ... seed.reaction:rxn00527 ... seed.reaction:rxn27524 ... seed.reaction:rxn30444 ... seed.reaction:rxn30445 ... seed.reaction:rxn37937 ... seedR:rxn00527 ... seedR:rxn27524 ... seedR:rxn30444 ... seedR:rxn30445 ... seedR:rxn37937	1 MNXM153@MNXD1 + 1 MNXM741173@MNXD1 = 1 MNXM20@MNXD1 + 1 MNXM76@MNXD1
TYRt2r	MNXR105003	rheaR:28875	bigg.reaction:R_TYRt2m ... bigg.reaction:R_TYRt2p ... bigg.reaction:R_TYRt2r ... bigg.reaction:R_TYRt2rpp ... bigg.reaction:R_TYRt7 ... bigg.reaction:R_TYRth ... bigg.reaction:TYRt2m ... bigg.reaction:TYRt2p ... bigg.reaction:TYRt2r ... bigg.reaction:TYRt2rpp ... bigg.reaction:TYRt7 ... bigg.reaction:TYRth ... biggR:R_TYRt2m ... biggR:R_TYRt2p ... biggR:R_TYRt2r ... biggR:R_TYRt2rpp ... biggR:R_TYRt7 ... biggR:R_TYRth ... biggR:TYRt2m ... biggR:TYRt2p ... biggR:TYRt2r ... biggR:TYRt2rpp ... biggR:TYRt7 ... biggR:TYRth ... deprecated:MNXR5180 ... metacyc.reaction:TRANS-RXN-77 ... metacycR:TRANS-RXN-77 ... rhea:28875 ... rhea:28876 ... rhea:28877 ... rhea:28878 ... rheaR:28875 ... rheaR:28876 ... rheaR:28877 ... rheaR:28878 ... seed.reaction:rxn05301 ... seed.reaction:rxn09338 ... seed.reaction:rxn09708 ... seed.reaction:rxn09831 ... seed.reaction:rxn13412 ... seed.reaction:rxn34413 ... seedR:rxn05301 ... seedR:rxn09338 ... seedR:rxn09708 ... seedR:rxn09831 ... seedR:rxn13412 ... seedR:rxn34413	1 MNXM01@MNXD1 + 1 MNXM76@MNXD1 = 1 MNXM01@MNXD2 + 1 MNXM76@MNXD2
UAAGDS	MNXR105013	biggR:UAAGDS	bigg.reaction:R_UAAGDS ... bigg.reaction:UAAGDS ... biggR:R_UAAGDS ... biggR:UAAGDS	1 MNXM1446@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM40333@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM529@MNXD1 + 1 MNXM741611@MNXD1
UACMAMAT				
UAG2E	MNXR151539	rheaR:17213	bigg.reaction:R_UAG2E ... bigg.reaction:R_UAG2EMA_1 ... bigg.reaction:UAG2E ... bigg.reaction:UAG2EMA_1 ... biggR:R_UAG2E ... biggR:R_UAG2EMA_1 ... biggR:UAG2E ... biggR:UAG2EMA_1 ... deprecated:MNXR134090 ... deprecated:MNXR141025 ... deprecated:MNXR151540 ... deprecated:MNXR190056 ... kegg.reaction:R00420 ... keggR:R00420 ... metacyc.reaction:UDPGLCNACEPIM-RXN ... metacycR:UDPGLCNACEPIM-RXN ... rhea:17213 ... rhea:17214 ... rhea:17215 ... rhea:17216 ... rheaR:17213 ... rheaR:17214 ... rheaR:17215 ... rheaR:17216 ... sabiork.reaction:875 ... sabiorkR:875 ... seed.reaction:rxn00297 ... seedR:rxn00297	1 MNXM1101258@MNXD1 = 1 MNXM1104529@MNXD1
UAG2EMA	MNXR189886	keggR:R00414	bigg.reaction:R_UAG2EMA ... bigg.reaction:R_r0113 ... bigg.reaction:UAG2EMA ... bigg.reaction:r0113 ... biggR:R_UAG2EMA ... biggR:R_r0113 ... biggR:UAG2EMA ... biggR:r0113 ... deprecated:MNXR146640 ... deprecated:MNXR189887 ... kegg.reaction:R00414 ... keggR:R00414 ... seed.reaction:rxn00292 ... seedR:rxn00292	1 MNXM1102128@MNXD1 + 1 MNXM1105881@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM1104529@MNXD1 + 1 WATER@MNXD1
UAG4E	MNXR146642	rheaR:20517	bigg.reaction:R_UAG4E ... bigg.reaction:R_UAG4Ei ... bigg.reaction:UAG4E ... bigg.reaction:UAG4Ei ... biggR:R_UAG4E ... biggR:R_UAG4Ei ... biggR:UAG4E ... biggR:UAG4Ei ... deprecated:MNXR105027 ... deprecated:MNXR124088 ... deprecated:MNXR146644 ... deprecated:MNXR146645 ... deprecated:MNXR189888 ... deprecated:MNXR189889 ... kegg.reaction:R00418 ... keggR:R00418 ... metacyc.reaction:UDP-N-ACETYLGLUCOSAMINE-4-EPIMERASE-RXN ... metacycR:UDP-N-ACETYLGLUCOSAMINE-4-EPIMERASE-RXN ... rhea:20517 ... rhea:20518 ... rhea:20519 ... rhea:20520 ... rheaR:20517 ... rheaR:20518 ... rheaR:20519 ... rheaR:20520 ... sabiork.reaction:873 ... sabiorkR:873 ... seed.reaction:rxn00295 ... seed.reaction:rxn44937 ... seedR:rxn00295 ... seedR:rxn44937	1 MNXM1100890@MNXD1 = 1 MNXM1104529@MNXD1
UAGCVT_r				
UAGDP	MNXR106519	rheaR:13509	bigg.reaction:R_UAGDP ... bigg.reaction:R_UAGDP_1 ... bigg.reaction:UAGDP ... bigg.reaction:UAGDP_1 ... biggR:R_UAGDP ... biggR:R_UAGDP_1 ... biggR:UAGDP ... biggR:UAGDP_1 ... deprecated:MNXR146656 ... deprecated:MNXR146657 ... deprecated:MNXR5200 ... deprecated:MNXR70013 ... kegg.reaction:R00416 ... keggR:R00416 ... metacyc.reaction:NAG1P-URIDYLTRANS-RXN ... metacycR:NAG1P-URIDYLTRANS-RXN ... rhea:13509 ... rhea:13510 ... rhea:13511 ... rhea:13512 ... rheaR:13509 ... rheaR:13510 ... rheaR:13511 ... rheaR:13512 ... sabiork.reaction:870 ... sabiork.reaction:871 ... sabiorkR:870 ... sabiorkR:871 ... seed.reaction:rxn28025 ... seedR:rxn28025	1 MNXM1101474@MNXD1 + 1 MNXM1105798@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM1104529@MNXD1 + 1 MNXM11@MNXD1
