#query	mnx_id	reference	xrefs	name
HPACt2r	MNXR151629	seedR:rxn10559	bigg.reaction:4HOXPACt2pp ... bigg.reaction:HPACt2r ... bigg.reaction:R_4HOXPACt2pp ... bigg.reaction:R_HPACt2r ... biggR:4HOXPACt2pp ... biggR:HPACt2r ... biggR:R_4HOXPACt2pp ... biggR:R_HPACt2r ... deprecated:MNXR137948 ... deprecated:MNXR95020 ... seed.reaction:rxn10559 ... seed.reaction:rxn30233 ... seed.reaction:rxn30234 ... seedR:rxn10559 ... seedR:rxn30233 ... seedR:rxn30234	1 MNXM01@MNXD1 + 1 MNXM735208@MNXD1 = 1 MNXM01@MNXD2 + 1 MNXM735208@MNXD2
HPPK	MNXR145237	rheaR:11412	bigg.reaction:HPPK ... bigg.reaction:HPPK2 ... bigg.reaction:HPPK2_1 ... bigg.reaction:HPPK_1 ... bigg.reaction:HPPKm ... bigg.reaction:R_HPPK ... bigg.reaction:R_HPPK2 ... bigg.reaction:R_HPPK2_1 ... bigg.reaction:R_HPPK_1 ... bigg.reaction:R_HPPKm ... biggR:HPPK ... biggR:HPPK2 ... biggR:HPPK2_1 ... biggR:HPPK_1 ... biggR:HPPKm ... biggR:R_HPPK ... biggR:R_HPPK2 ... biggR:R_HPPK2_1 ... biggR:R_HPPK_1 ... biggR:R_HPPKm ... deprecated:MNXR100694 ... deprecated:MNXR138523 ... deprecated:MNXR141999 ... deprecated:MNXR145238 ... kegg.reaction:R03503 ... keggR:R03503 ... metacyc.reaction:H2PTERIDINEPYROPHOSPHOKIN-RXN ... metacycR:H2PTERIDINEPYROPHOSPHOKIN-RXN ... rhea:11412 ... rhea:11413 ... rhea:11414 ... rhea:11415 ... rheaR:11412 ... rheaR:11413 ... rheaR:11414 ... rheaR:11415 ... sabiork.reaction:3292 ... sabiorkR:3292 ... seed.reaction:rxn02503 ... seed.reaction:rxn30396 ... seedR:rxn02503 ... seedR:rxn30396	1 MNXM1@MNXD1 + 1 MNXM727068@MNXD1 + 1 MNXM728294@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM728662@MNXD1
HPPK2	MNXR145237	rheaR:11412	bigg.reaction:HPPK ... bigg.reaction:HPPK2 ... bigg.reaction:HPPK2_1 ... bigg.reaction:HPPK_1 ... bigg.reaction:HPPKm ... bigg.reaction:R_HPPK ... bigg.reaction:R_HPPK2 ... bigg.reaction:R_HPPK2_1 ... bigg.reaction:R_HPPK_1 ... bigg.reaction:R_HPPKm ... biggR:HPPK ... biggR:HPPK2 ... biggR:HPPK2_1 ... biggR:HPPK_1 ... biggR:HPPKm ... biggR:R_HPPK ... biggR:R_HPPK2 ... biggR:R_HPPK2_1 ... biggR:R_HPPK_1 ... biggR:R_HPPKm ... deprecated:MNXR100694 ... deprecated:MNXR138523 ... deprecated:MNXR141999 ... deprecated:MNXR145238 ... kegg.reaction:R03503 ... keggR:R03503 ... metacyc.reaction:H2PTERIDINEPYROPHOSPHOKIN-RXN ... metacycR:H2PTERIDINEPYROPHOSPHOKIN-RXN ... rhea:11412 ... rhea:11413 ... rhea:11414 ... rhea:11415 ... rheaR:11412 ... rheaR:11413 ... rheaR:11414 ... rheaR:11415 ... sabiork.reaction:3292 ... sabiorkR:3292 ... seed.reaction:rxn02503 ... seed.reaction:rxn30396 ... seedR:rxn02503 ... seedR:rxn30396	1 MNXM1@MNXD1 + 1 MNXM727068@MNXD1 + 1 MNXM728294@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM728662@MNXD1
HPYRR3x				
HSDx				
HSDy	MNXR100734	rheaR:15761	bigg.reaction:HSDH ... bigg.reaction:HSDy ... bigg.reaction:R_HSDH ... bigg.reaction:R_HSDy ... biggR:HSDH ... biggR:HSDy ... biggR:R_HSDH ... biggR:R_HSDy ... deprecated:MNXR3045 ... kegg.reaction:R01775 ... keggR:R01775 ... rhea:15761 ... rhea:15762 ... rhea:15763 ... rhea:15764 ... rheaR:15761 ... rheaR:15762 ... rheaR:15763 ... rheaR:15764 ... sabiork.reaction:1868 ... sabiorkR:1868 ... seed.reaction:rxn01302 ... seed.reaction:rxn27932 ... seedR:rxn01302 ... seedR:rxn27932	1 MNXM1@MNXD1 + 1 MNXM361@MNXD1 + 1 MNXM738702@MNXD1 = 1 MNXM353@MNXD1 + 1 MNXM5@MNXD1
HSK	MNXR100737	rheaR:13985	bigg.reaction:HSK ... bigg.reaction:HSK_1 ... bigg.reaction:HSK_2 ... bigg.reaction:R_HSK ... bigg.reaction:R_HSK_1 ... bigg.reaction:R_HSK_2 ... biggR:HSK ... biggR:HSK_1 ... biggR:HSK_2 ... biggR:R_HSK ... biggR:R_HSK_1 ... biggR:R_HSK_2 ... deprecated:MNXR3047 ... kegg.reaction:R01771 ... keggR:R01771 ... metacyc.reaction:HOMOSERKIN-RXN ... metacycR:HOMOSERKIN-RXN ... rhea:13985 ... rhea:13986 ... rhea:13987 ... rhea:13988 ... rheaR:13985 ... rheaR:13986 ... rheaR:13987 ... rheaR:13988 ... sabiork.reaction:1866 ... sabiorkR:1866 ... seed.reaction:rxn01300 ... seed.reaction:rxn19905 ... seed.reaction:rxn38151 ... seed.reaction:rxn38152 ... seed.reaction:rxn38153 ... seedR:rxn01300 ... seedR:rxn19905 ... seedR:rxn38151 ... seedR:rxn38152 ... seedR:rxn38153	1 MNXM1334@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM40333@MNXD1 = 1 MNXM353@MNXD1 + 1 MNXM3@MNXD1
HSST	MNXR188241	rheaR:22008	bigg.reaction:HSST ... bigg.reaction:R_HSST ... biggR:HSST ... biggR:R_HSST ... deprecated:MNXR100741 ... deprecated:MNXR188242 ... kegg.reaction:R01777 ... keggR:R01777 ... metacyc.reaction:HOMSUCTRAN-RXN ... metacycR:HOMSUCTRAN-RXN ... rhea:22008 ... rhea:22009 ... rhea:22010 ... rhea:22011 ... rheaR:22008 ... rheaR:22009 ... rheaR:22010 ... rheaR:22011 ... sabiork.reaction:1870 ... sabiorkR:1870 ... seed.reaction:rxn01304 ... seed.reaction:rxn33981 ... seedR:rxn01304 ... seedR:rxn33981	1 MNXM1104774@MNXD1 + 1 MNXM353@MNXD1 = 1 MNXM727276@MNXD1 + 1 MNXM820@MNXD1
HSTPTr	MNXR95852	rheaR:23744	bigg.reaction:AOOAh ... bigg.reaction:HSTPT ... bigg.reaction:HSTPTr ... bigg.reaction:R_AOOAh ... bigg.reaction:R_HSTPT ... bigg.reaction:R_HSTPTr ... biggR:AOOAh ... biggR:HSTPT ... biggR:HSTPTr ... biggR:R_AOOAh ... biggR:R_HSTPT ... biggR:R_HSTPTr ... deprecated:MNXR31722 ... kegg.reaction:R03243 ... keggR:R03243 ... metacyc.reaction:HISTAMINOTRANS-RXN ... metacycR:HISTAMINOTRANS-RXN ... rhea:23744 ... rhea:23745 ... rhea:23746 ... rhea:23747 ... rheaR:23744 ... rheaR:23745 ... rheaR:23746 ... rheaR:23747 ... sabiork.reaction:3064 ... sabiorkR:3064 ... seed.reaction:rxn02320 ... seed.reaction:rxn27926 ... seed.reaction:rxn33284 ... seed.reaction:rxn38148 ... seedR:rxn02320 ... seedR:rxn27926 ... seedR:rxn33284 ... seedR:rxn38148	1 MNXM1456@MNXD1 + 1 MNXM741173@MNXD1 = 1 MNXM1482@MNXD1 + 1 MNXM20@MNXD1
HXAND	MNXR145262	rheaR:24670	bigg.reaction:HXAND ... bigg.reaction:R_HXAND ... biggR:HXAND ... biggR:R_HXAND ... deprecated:MNXR100747 ... deprecated:MNXR145263 ... kegg.reaction:R01768 ... keggR:R01768 ... metacyc.reaction:RXN-7682 ... metacycR:RXN-7682 ... rhea:24670 ... rhea:24671 ... rhea:24672 ... rhea:24673 ... rheaR:24670 ... rheaR:24671 ... rheaR:24672 ... rheaR:24673 ... sabiork.reaction:323 ... sabiorkR:323 ... seed.reaction:rxn01297 ... seed.reaction:rxn32917 ... seedR:rxn01297 ... seedR:rxn32917	1 MNXM10@MNXD1 + 1 MNXM174@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM732487@MNXD1 + 1 MNXM8@MNXD1 + 1 WATER@MNXD1
