#query	mnx_id	reference	xrefs	name
PGSAAI15				
PGSAAI17				
PGSAI14				
PGSAI15				
PGSAI16				
PGSAI17				
PHETA1	MNXR126234	rheaR:25152	bigg.reaction:PHETA1 ... bigg.reaction:PHETA1m ... bigg.reaction:POATh ... bigg.reaction:R_PHETA1 ... bigg.reaction:R_PHETA1m ... bigg.reaction:R_POATh ... biggR:PHETA1 ... biggR:PHETA1m ... biggR:POATh ... biggR:R_PHETA1 ... biggR:R_PHETA1m ... biggR:R_POATh ... deprecated:MNXR102631 ... deprecated:MNXR138701 ... deprecated:MNXR32168 ... kegg.reaction:R00694 ... keggR:R00694 ... metacyc.reaction:RXN-10814 ... metacycR:RXN-10814 ... rhea:25152 ... rhea:25153 ... rhea:25154 ... rhea:25155 ... rheaR:25152 ... rheaR:25153 ... rheaR:25154 ... rheaR:25155 ... sabiork.reaction:1074 ... sabiorkR:1074 ... seed.reaction:rxn00493 ... seed.reaction:rxn21134 ... seed.reaction:rxn28060 ... seed.reaction:rxn38254 ... seedR:rxn00493 ... seedR:rxn21134 ... seedR:rxn28060 ... seedR:rxn38254	1 MNXM20@MNXD1 + 1 MNXM741664@MNXD1 = 1 MNXM730221@MNXD1 + 1 MNXM741173@MNXD1
PHEt2r	MNXR146002	rheaR:28923	bigg.reaction:PHEt2m ... bigg.reaction:PHEt2r ... bigg.reaction:PHEt2rpp ... bigg.reaction:PHEt_h ... bigg.reaction:R_PHEt2m ... bigg.reaction:R_PHEt2r ... bigg.reaction:R_PHEt2rpp ... bigg.reaction:R_PHEt_h ... biggR:PHEt2m ... biggR:PHEt2r ... biggR:PHEt2rpp ... biggR:PHEt_h ... biggR:R_PHEt2m ... biggR:R_PHEt2r ... biggR:R_PHEt2rpp ... biggR:R_PHEt_h ... deprecated:MNXR102635 ... deprecated:MNXR118824 ... metacyc.reaction:RXN-14646 ... metacyc.reaction:TRANS-RXN-56 ... metacycR:RXN-14646 ... metacycR:TRANS-RXN-56 ... rhea:28923 ... rhea:28924 ... rhea:28925 ... rhea:28926 ... rheaR:28923 ... rheaR:28924 ... rheaR:28925 ... rheaR:28926 ... seed.reaction:rxn05306 ... seed.reaction:rxn09117 ... seed.reaction:rxn09724 ... seed.reaction:rxn40745 ... seedR:rxn05306 ... seedR:rxn09117 ... seedR:rxn09724 ... seedR:rxn40745	1 MNXM01@MNXD1 + 1 MNXM741664@MNXD1 = 1 MNXM01@MNXD2 + 1 MNXM741664@MNXD2
PHPB2i				
PHPYRt2r				
PIabc	MNXR102870	seedR:rxn05145	bigg.reaction:PIabc ... bigg.reaction:PIuabcpp ... bigg.reaction:R_PIabc ... bigg.reaction:R_PIuabcpp ... biggR:PIabc ... biggR:PIuabcpp ... biggR:R_PIabc ... biggR:R_PIuabcpp ... metacyc.reaction:ABC-27-RXN ... metacycR:ABC-27-RXN ... seed.reaction:rxn05145 ... seed.reaction:rxn09122 ... seedR:rxn05145 ... seedR:rxn09122	1 MNXM1@MNXD1 + 1 MNXM40333@MNXD1 + 2 MNXM9@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM9@MNXD2 + 1 WATER@MNXD1
PIt7	MNXR102874	seedR:rxn05313	bigg.reaction:PIt7 ... bigg.reaction:PIt7ipp ... bigg.reaction:R_PIt7 ... bigg.reaction:R_PIt7ipp ... biggR:PIt7 ... biggR:PIt7ipp ... biggR:R_PIt7 ... biggR:R_PIt7ipp ... deprecated:MNXR4297 ... seed.reaction:rxn05313 ... seedR:rxn05313	3 MNXM27@MNXD1 + 1 MNXM9@MNXD1 = 3 MNXM27@MNXD2 + 1 MNXM9@MNXD2
PLACD				
PLACOR				
PMANM	MNXR145703	rheaR:11140	bigg.reaction:PMANM ... bigg.reaction:R_PMANM ... biggR:PMANM ... biggR:R_PMANM ... deprecated:MNXR101729 ... deprecated:MNXR145704 ... deprecated:MNXR145705 ... kegg.reaction:R01818 ... keggR:R01818 ... metacyc.reaction:PHOSMANMUT-RXN ... metacycR:PHOSMANMUT-RXN ... rhea:11140 ... rhea:11141 ... rhea:11142 ... rhea:11143 ... rheaR:11140 ... rheaR:11141 ... rheaR:11142 ... rheaR:11143 ... sabiork.reaction:69 ... sabiorkR:69 ... seed.reaction:rxn01329 ... seed.reaction:rxn32754 ... seedR:rxn01329 ... seedR:rxn32754	1 MNXM1105857@MNXD1 = 1 MNXM1106057@MNXD1
PMDPHT	MNXR96145	rheaR:25197	bigg.reaction:AUS ... bigg.reaction:PMDPHT ... bigg.reaction:R_AUS ... bigg.reaction:R_PMDPHT ... biggR:AUS ... biggR:PMDPHT ... biggR:R_AUS ... biggR:R_PMDPHT ... deprecated:MNXR4352 ... kegg.reaction:R07280 ... keggR:R07280 ... metacyc.reaction:RIBOPHOSPHAT-RXN ... metacycR:RIBOPHOSPHAT-RXN ... rhea:25197 ... rhea:25198 ... rhea:25199 ... rhea:25200 ... rheaR:25197 ... rheaR:25198 ... rheaR:25199 ... rheaR:25200 ... sabiork.reaction:8920 ... sabiorkR:8920 ... seed.reaction:rxn05039 ... seed.reaction:rxn30766 ... seed.reaction:rxn31834 ... seedR:rxn05039 ... seedR:rxn30766 ... seedR:rxn31834	1 MNXM1178@MNXD1 + 1 WATER@MNXD1 = 1 MNXM737103@MNXD1 + 1 MNXM9@MNXD1
PMPK	MNXR103045	rheaR:19893	bigg.reaction:PMPK ... bigg.reaction:PMPK_h ... bigg.reaction:R_PMPK ... bigg.reaction:R_PMPK_h ... biggR:PMPK ... biggR:PMPK_h ... biggR:R_PMPK ... biggR:R_PMPK_h ... deprecated:MNXR143305 ... deprecated:MNXR69768 ... kegg.reaction:R04509 ... keggR:R04509 ... metacyc.reaction:PYRIMSYN3-RXN ... metacycR:PYRIMSYN3-RXN ... rhea:19893 ... rhea:19894 ... rhea:19895 ... rhea:19896 ... rheaR:19893 ... rheaR:19894 ... rheaR:19895 ... rheaR:19896 ... seed.reaction:rxn03108 ... seed.reaction:rxn28109 ... seedR:rxn03108 ... seedR:rxn28109	1 MNXM1101289@MNXD1 + 1 MNXM40333@MNXD1 = 1 MNXM1104391@MNXD1 + 1 MNXM3@MNXD1
PMTCOATA				
PNP	MNXR188678	keggR:R02294	bigg.reaction:PNP ... bigg.reaction:PNP_1 ... bigg.reaction:R_PNP ... bigg.reaction:R_PNP_1 ... biggR:PNP ... biggR:PNP_1 ... biggR:R_PNP ... biggR:R_PNP_1 ... deprecated:MNXR103048 ... deprecated:MNXR188679 ... kegg.reaction:R02294 ... keggR:R02294 ... metacyc.reaction:RXN0-7092 ... metacycR:RXN0-7092 ... seed.reaction:rxn01646 ... seedR:rxn01646	1 MNXM1101283@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM1103205@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM216@MNXD1
