#query	mnx_id	reference	xrefs	name
EX_pro_Le				
EX_ptrce				
EX_pydxe				
EX_pydxne				
EX_pyre				
EX_rib_De				
EX_ribflve				
EX_salcne				
EX_sbt_De				
EX_ser_Le				
EX_so4e				
EX_spmde				
EX_succe				
EX_sucre				
EX_sulface				
EX_taure				
EX_thme				
EX_thr_Le				
EX_tmae				
EX_tree				
EX_trp_Le				
EX_ttdcae				
EX_tyr_Le				
EX_urae				
EX_ureae				
EX_val_Le				
EX_xane				
EX_xyl_De				
EX_zn2e				
FACOAL140	MNXR191004	rheaR:33619	bigg.reaction:FACOAL140 ... bigg.reaction:FACOAL140p ... bigg.reaction:HMR_2944 ... bigg.reaction:R_FACOAL140 ... bigg.reaction:R_FACOAL140p ... bigg.reaction:R_HMR_2944 ... biggR:FACOAL140 ... biggR:FACOAL140p ... biggR:HMR_2944 ... biggR:R_FACOAL140 ... biggR:R_FACOAL140p ... biggR:R_HMR_2944 ... deprecated:MNXR191005 ... deprecated:MNXR99145 ... rhea:33619 ... rhea:33620 ... rhea:33621 ... rhea:33622 ... rheaR:33619 ... rheaR:33620 ... rheaR:33621 ... rheaR:33622 ... sabiork.reaction:10952 ... sabiorkR:10952 ... seed.reaction:rxn05736 ... seed.reaction:rxn30375 ... seed.reaction:rxn37327 ... seed.reaction:rxn37331 ... seed.reaction:rxn37336 ... seedR:rxn05736 ... seedR:rxn30375 ... seedR:rxn37327 ... seedR:rxn37331 ... seedR:rxn37336	1 MNXM1104283@MNXD1 + 1 MNXM11@MNXD1 + 1 MNXM728294@MNXD1 = 1 MNXM314@MNXD1 + 1 MNXM3@MNXD1 + 1 MNXM727276@MNXD1
FACOAL160	MNXR191008	rheaR:30751	bigg.reaction:FACOAL160 ... bigg.reaction:FACOAL160p ... bigg.reaction:FACOAL_160_m ... bigg.reaction:R_FACOAL160 ... bigg.reaction:R_FACOAL160p ... bigg.reaction:R_FACOAL_160_m ... bigg.reaction:R_r0311 ... bigg.reaction:r0311 ... biggR:FACOAL160 ... biggR:FACOAL160p ... biggR:FACOAL_160_m ... biggR:R_FACOAL160 ... biggR:R_FACOAL160p ... biggR:R_FACOAL_160_m ... biggR:R_r0311 ... biggR:r0311 ... deprecated:MNXR191009 ... deprecated:MNXR99153 ... kegg.reaction:R01280 ... keggR:R01280 ... metacyc.reaction:RXN-9623 ... metacycR:RXN-9623 ... rhea:30751 ... rhea:30752 ... rhea:30753 ... rhea:30754 ... rheaR:30751 ... rheaR:30752 ... rheaR:30753 ... rheaR:30754 ... sabiork.reaction:1496 ... sabiorkR:1496 ... seed.reaction:rxn00947 ... seed.reaction:rxn30377 ... seed.reaction:rxn31929 ... seed.reaction:rxn31932 ... seed.reaction:rxn37332 ... seed.reaction:rxn37337 ... seedR:rxn00947 ... seedR:rxn30377 ... seedR:rxn31929 ... seedR:rxn31932 ... seedR:rxn37332 ... seedR:rxn37337	1 MNXM108@MNXD1 + 1 MNXM3@MNXD1 + 1 MNXM727276@MNXD1 = 1 MNXM1106160@MNXD1 + 1 MNXM11@MNXD1 + 1 MNXM728294@MNXD1
FACOAL161	MNXR191012	rheaR:33647	bigg.reaction:FACOAL161 ... bigg.reaction:FACOAL161p ... bigg.reaction:RE2912M ... bigg.reaction:R_FACOAL161 ... bigg.reaction:R_FACOAL161p ... bigg.reaction:R_RE2912M ... bigg.reaction:R_r1487 ... bigg.reaction:r1487 ... biggR:FACOAL161 ... biggR:FACOAL161p ... biggR:RE2912M ... biggR:R_FACOAL161 ... biggR:R_FACOAL161p ... biggR:R_RE2912M ... biggR:R_r1487 ... biggR:r1487 ... deprecated:MNXR191013 ... deprecated:MNXR99156 ... rhea:33647 ... rhea:33648 ... rhea:33649 ... rhea:33650 ... rheaR:33647 ... rheaR:33648 ... rheaR:33649 ... rheaR:33650	1 MNXM1106135@MNXD1 + 1 MNXM11@MNXD1 + 1 MNXM728294@MNXD1 = 1 MNXM1107900@MNXD1 + 1 MNXM3@MNXD1 + 1 MNXM727276@MNXD1
FACOAL180	MNXR190231	rheaR:33615	bigg.reaction:FACOAL180 ... bigg.reaction:HMR_2957 ... bigg.reaction:R_FACOAL180 ... bigg.reaction:R_HMR_2957 ... biggR:FACOAL180 ... biggR:HMR_2957 ... biggR:R_FACOAL180 ... biggR:R_HMR_2957 ... deprecated:MNXR153481 ... deprecated:MNXR190232 ... metacyc.reaction:RXN-16380 ... metacycR:RXN-16380 ... rhea:33615 ... rhea:33616 ... rhea:33617 ... rhea:33618 ... rheaR:33615 ... rheaR:33616 ... rheaR:33617 ... rheaR:33618 ... sabiork.reaction:10953 ... sabiorkR:10953 ... seed.reaction:rxn09449 ... seed.reaction:rxn37328 ... seed.reaction:rxn37333 ... seed.reaction:rxn37338 ... seed.reaction:rxn37341 ... seedR:rxn09449 ... seedR:rxn37328 ... seedR:rxn37333 ... seedR:rxn37338 ... seedR:rxn37341	1 MNXM1104352@MNXD1 + 1 MNXM11@MNXD1 + 1 MNXM728294@MNXD1 = 1 MNXM236@MNXD1 + 1 MNXM3@MNXD1 + 1 MNXM727276@MNXD1
FACOAL181	MNXR151340	rheaR:33607	bigg.reaction:FACOAL181 ... bigg.reaction:R_FACOAL181 ... bigg.reaction:R_r1255 ... bigg.reaction:r1255 ... biggR:FACOAL181 ... biggR:R_FACOAL181 ... biggR:R_r1255 ... biggR:r1255 ... deprecated:MNXR122919 ... deprecated:MNXR151341 ... deprecated:MNXR180770 ... deprecated:MNXR99168 ... metacyc.reaction:RXN-9644 ... metacycR:RXN-9644 ... rhea:33607 ... rhea:33608 ... rhea:33609 ... rhea:33610 ... rheaR:33607 ... rheaR:33608 ... rheaR:33609 ... rheaR:33610 ... sabiork.reaction:10317 ... sabiorkR:10317 ... seed.reaction:rxn12282 ... seed.reaction:rxn25734 ... seed.reaction:rxn32436 ... seed.reaction:rxn32438 ... seed.reaction:rxn32444 ... seed.reaction:rxn32459 ... seed.reaction:rxn34955 ... seedR:rxn12282 ... seedR:rxn25734 ... seedR:rxn32436 ... seedR:rxn32438 ... seedR:rxn32444 ... seedR:rxn32459 ... seedR:rxn34955	1 MNXM1105956@MNXD1 + 1 MNXM11@MNXD1 + 1 MNXM728294@MNXD1 = 1 MNXM1107708@MNXD1 + 1 MNXM3@MNXD1 + 1 MNXM727276@MNXD1
FACOALAI15				
FACOALAI17				
FACOALI14				
FACOALI15				
FACOALI16				
FACOALI17				
FBA	MNXR153517	biggR:FBA	bigg.reaction:FBA ... bigg.reaction:FBA_h ... bigg.reaction:FBAg ... bigg.reaction:R_FBA ... bigg.reaction:R_FBA_h ... bigg.reaction:R_FBAg ... biggR:FBA ... biggR:FBA_h ... biggR:FBAg ... biggR:R_FBA ... biggR:R_FBA_h ... biggR:R_FBAg ... deprecated:MNXR99459 ... deprecated:MNXR99464	1 MNXM1106095@MNXD1 + 2 MNXM1@MNXD1 = 1 MNXM739945@MNXD1 + 1 MNXM77@MNXD1
FBA2	MNXR191073	rheaR:30851	bigg.reaction:FBA2 ... bigg.reaction:FPGPL ... bigg.reaction:R_FBA2 ... bigg.reaction:R_FPGPL ... biggR:FBA2 ... biggR:FPGPL ... biggR:R_FBA2 ... biggR:R_FPGPL ... deprecated:MNXR191074 ... deprecated:MNXR99460 ... kegg.reaction:R02568 ... keggR:R02568 ... metacyc.reaction:RXN-8631 ... metacycR:RXN-8631 ... rhea:30851 ... rhea:30852 ... rhea:30853 ... rhea:30854 ... rheaR:30851 ... rheaR:30852 ... rheaR:30853 ... rheaR:30854 ... sabiork.reaction:274 ... sabiorkR:274 ... seed.reaction:rxn01870 ... seed.reaction:rxn25046 ... seed.reaction:rxn28406 ... seed.reaction:rxn38459 ... seedR:rxn01870 ... seedR:rxn25046 ... seedR:rxn28406 ... seedR:rxn38459	1 MNXM1104787@MNXD1 = 1 MNXM435@MNXD1 + 1 MNXM77@MNXD1
FBA3	MNXR146784	rheaR:30167	bigg.reaction:FBA3 ... bigg.reaction:FBA3hi ... bigg.reaction:R_FBA3 ... bigg.reaction:R_FBA3hi ... bigg.reaction:R_r0407 ... bigg.reaction:r0407 ... biggR:FBA3 ... biggR:FBA3hi ... biggR:R_FBA3 ... biggR:R_FBA3hi ... biggR:R_r0407 ... biggR:r0407 ... deprecated:MNXR105337 ... deprecated:MNXR146785 ... deprecated:MNXR99461 ... kegg.reaction:R01829 ... keggR:R01829 ... metacyc.reaction:SEDOBISALDOL-RXN ... metacycR:SEDOBISALDOL-RXN ... rhea:30167 ... rhea:30168 ... rhea:30169 ... rhea:30170 ... rheaR:30167 ... rheaR:30168 ... rheaR:30169 ... rheaR:30170 ... sabiork.reaction:45 ... sabiorkR:45 ... seed.reaction:rxn01334 ... seed.reaction:rxn28981 ... seed.reaction:rxn31868 ... seedR:rxn01334 ... seedR:rxn28981 ... seedR:rxn31868	1 MNXM258@MNXD1 + 1 MNXM77@MNXD1 = 1 MNXM507505@MNXD1
