#query	mnx_id	reference	xrefs	name
DHPPDA	MNXR189560	rheaR:21868	bigg.reaction:DHPAH ... bigg.reaction:DHPPDA ... bigg.reaction:DHPPDA2 ... bigg.reaction:DHPPDA_2 ... bigg.reaction:DHPPDA_h ... bigg.reaction:R_DHPAH ... bigg.reaction:R_DHPPDA ... bigg.reaction:R_DHPPDA2 ... bigg.reaction:R_DHPPDA_2 ... bigg.reaction:R_DHPPDA_h ... biggR:DHPAH ... biggR:DHPPDA ... biggR:DHPPDA2 ... biggR:DHPPDA_2 ... biggR:DHPPDA_h ... biggR:R_DHPAH ... biggR:R_DHPPDA ... biggR:R_DHPPDA2 ... biggR:R_DHPPDA_2 ... biggR:R_DHPPDA_h ... deprecated:MNXR141996 ... deprecated:MNXR155812 ... deprecated:MNXR97430 ... kegg.reaction:R03459 ... keggR:R03459 ... metacyc.reaction:RIBOFLAVINSYNDEAM-RXN ... metacycR:RIBOFLAVINSYNDEAM-RXN ... rhea:21868 ... rhea:21869 ... rhea:21870 ... rhea:21871 ... rheaR:21868 ... rheaR:21869 ... rheaR:21870 ... rheaR:21871 ... sabiork.reaction:3253 ... sabiorkR:3253 ... seed.reaction:rxn02475 ... seed.reaction:rxn30012 ... seed.reaction:rxn32932 ... seed.reaction:rxn35473 ... seedR:rxn02475 ... seedR:rxn30012 ... seedR:rxn32932 ... seedR:rxn35473	1 MNXM1103734@MNXD1 + 1 MNXM1@MNXD1 + 1 WATER@MNXD1 = 1 MNXM1532@MNXD1 + 1 MNXM729302@MNXD1
DHPS	MNXR140386	rheaR:30887	bigg.reaction:DHPS ... bigg.reaction:DHPSm ... bigg.reaction:R_DHPS ... bigg.reaction:R_DHPSm ... biggR:DHPS ... biggR:DHPSm ... biggR:R_DHPS ... biggR:R_DHPSm ... deprecated:MNXR107926 ... deprecated:MNXR139168 ... deprecated:MNXR142732 ... deprecated:MNXR1587 ... deprecated:MNXR79594 ... kegg.reaction:R03066 ... keggR:R03066 ... metacyc.reaction:RXN-14226 ... metacycR:RXN-14226 ... rhea:30887 ... rhea:30888 ... rhea:30889 ... rhea:30890 ... rheaR:30887 ... rheaR:30888 ... rheaR:30889 ... rheaR:30890 ... seed.reaction:rxn02200 ... seed.reaction:rxn30369 ... seedR:rxn02200 ... seedR:rxn30369	1 MNXM421@MNXD1 + 1 MNXM728662@MNXD1 = 1 MNXM722728@MNXD1 + 1 WATER@MNXD1
DHPS2	MNXR151976	rheaR:19949	bigg.reaction:DHPS2 ... bigg.reaction:DHPS2_1 ... bigg.reaction:FOLD3 ... bigg.reaction:FOLD3_1 ... bigg.reaction:FOLD3m ... bigg.reaction:R_DHPS2 ... bigg.reaction:R_DHPS2_1 ... bigg.reaction:R_FOLD3 ... bigg.reaction:R_FOLD3_1 ... bigg.reaction:R_FOLD3m ... biggR:DHPS2 ... biggR:DHPS2_1 ... biggR:FOLD3 ... biggR:FOLD3_1 ... biggR:FOLD3m ... biggR:R_DHPS2 ... biggR:R_DHPS2_1 ... biggR:R_FOLD3 ... biggR:R_FOLD3_1 ... biggR:R_FOLD3m ... deprecated:MNXR140085 ... deprecated:MNXR143108 ... deprecated:MNXR151977 ... kegg.reaction:R03067 ... keggR:R03067 ... metacyc.reaction:H2PTEROATESYNTH-RXN ... metacycR:H2PTEROATESYNTH-RXN ... rhea:19949 ... rhea:19950 ... rhea:19951 ... rhea:19952 ... rheaR:19949 ... rheaR:19950 ... rheaR:19951 ... rheaR:19952 ... sabiork.reaction:2910 ... sabiorkR:2910 ... seed.reaction:rxn02201 ... seed.reaction:rxn30380 ... seedR:rxn02201 ... seedR:rxn30380	1 MNXM11@MNXD1 + 1 MNXM722728@MNXD1 = 1 MNXM421@MNXD1 + 1 MNXM727068@MNXD1
DHQS	MNXR153354	rheaR:21968	bigg.reaction:DHQS ... bigg.reaction:DHQS_1 ... bigg.reaction:DHQS_2 ... bigg.reaction:R_DHQS ... bigg.reaction:R_DHQS_1 ... bigg.reaction:R_DHQS_2 ... biggR:DHQS ... biggR:DHQS_1 ... biggR:DHQS_2 ... biggR:R_DHQS ... biggR:R_DHQS_1 ... biggR:R_DHQS_2 ... deprecated:MNXR153355 ... deprecated:MNXR153356 ... deprecated:MNXR97447 ... kegg.reaction:R03083 ... keggR:R03083 ... metacyc.reaction:3-DEHYDROQUINATE-SYNTHASE-RXN ... metacycR:3-DEHYDROQUINATE-SYNTHASE-RXN ... rhea:21968 ... rhea:21969 ... rhea:21970 ... rhea:21971 ... rheaR:21968 ... rheaR:21969 ... rheaR:21970 ... rheaR:21971 ... sabiork.reaction:2923 ... sabiorkR:2923 ... seed.reaction:rxn02212 ... seed.reaction:rxn32559 ... seedR:rxn02212 ... seedR:rxn32559	1 MNXM1219@MNXD1 = 1 MNXM736874@MNXD1 + 1 MNXM9@MNXD1
DHQTi	MNXR153359	rheaR:21096	bigg.reaction:DHQTi ... bigg.reaction:DQDH ... bigg.reaction:R_DHQTi ... bigg.reaction:R_DQDH ... biggR:DHQTi ... biggR:DQDH ... biggR:R_DHQTi ... biggR:R_DQDH ... deprecated:MNXR153360 ... deprecated:MNXR153361 ... deprecated:MNXR97449 ... kegg.reaction:R03084 ... keggR:R03084 ... metacyc.reaction:3-DEHYDROQUINATE-DEHYDRATASE-RXN ... metacycR:3-DEHYDROQUINATE-DEHYDRATASE-RXN ... rhea:21096 ... rhea:21097 ... rhea:21098 ... rhea:21099 ... rheaR:21096 ... rheaR:21097 ... rheaR:21098 ... rheaR:21099 ... sabiork.reaction:2924 ... sabiorkR:2924 ... seed.reaction:rxn02213 ... seed.reaction:rxn17751 ... seed.reaction:rxn17752 ... seed.reaction:rxn30580 ... seedR:rxn02213 ... seedR:rxn17751 ... seedR:rxn17752 ... seedR:rxn30580	1 MNXM611@MNXD1 + 1 WATER@MNXD1 = 1 MNXM736874@MNXD1
DMATT	MNXR97512	rheaR:22408	bigg.reaction:DMATT ... bigg.reaction:DMATTx ... bigg.reaction:GPPS_h ... bigg.reaction:GPPSh ... bigg.reaction:R_DMATT ... bigg.reaction:R_DMATTx ... bigg.reaction:R_GPPS_h ... bigg.reaction:R_GPPSh ... biggR:DMATT ... biggR:DMATTx ... biggR:GPPS_h ... biggR:GPPSh ... biggR:R_DMATT ... biggR:R_DMATTx ... biggR:R_GPPS_h ... biggR:R_GPPSh ... deprecated:MNXR55238 ... kegg.reaction:R01658 ... keggR:R01658 ... metacyc.reaction:GPPSYN-RXN ... metacycR:GPPSYN-RXN ... rhea:22408 ... rhea:22409 ... rhea:22410 ... rhea:22411 ... rheaR:22408 ... rheaR:22409 ... rheaR:22410 ... rheaR:22411 ... sabiork.reaction:1793 ... sabiorkR:1793 ... seed.reaction:rxn01213 ... seed.reaction:rxn19872 ... seed.reaction:rxn38135 ... seedR:rxn01213 ... seedR:rxn19872 ... seedR:rxn38135	1 MNXM100@MNXD1 + 1 MNXM11@MNXD1 = 1 MNXM132@MNXD1 + 1 MNXM83@MNXD1
DMPPS	MNXR97524	seedR:rxn08352	bigg.reaction:DMPPS ... bigg.reaction:R_DMPPS ... biggR:DMPPS ... biggR:R_DMPPS ... seed.reaction:rxn08352 ... seed.reaction:rxn26481 ... seedR:rxn08352 ... seedR:rxn26481	1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM606@MNXD1 = 1 MNXM132@MNXD1 + 1 MNXM8@MNXD1 + 1 WATER@MNXD1
DMPPS2r				
DMQMT	MNXR190208	rheaR:28679	bigg.reaction:DMQMT ... bigg.reaction:DMQMTm ... bigg.reaction:R_DMQMT ... bigg.reaction:R_DMQMTm ... biggR:DMQMT ... biggR:DMQMTm ... biggR:R_DMQMT ... biggR:R_DMQMTm ... deprecated:MNXR153379 ... deprecated:MNXR190209 ... metacyc.reaction:DHHB-METHYLTRANSFER-RXN ... metacycR:DHHB-METHYLTRANSFER-RXN ... rhea:28679 ... rhea:28680 ... rhea:28681 ... rhea:28682 ... rheaR:28679 ... rheaR:28680 ... rheaR:28681 ... rheaR:28682 ... seed.reaction:rxn40674 ... seedR:rxn40674	1 MNXM1102072@MNXD1 + 1 MNXM1104278@MNXD1 = 1 MNXM1102167@MNXD1 + 1 MNXM191@MNXD1 + 1 MNXM1@MNXD1
DMSOR1	MNXR97529	rheaR:29203	bigg.reaction:DMSOR1 ... bigg.reaction:R_DMSOR1 ... biggR:DMSOR1 ... biggR:R_DMSOR1 ... deprecated:MNXR26703 ... rhea:29203 ... rhea:29204 ... rhea:29205 ... rhea:29206 ... rheaR:29203 ... rheaR:29204 ... rheaR:29205 ... rheaR:29206 ... seed.reaction:rxn08354 ... seedR:rxn08354	1 MNXM223@MNXD1 + 1 MNXM745@MNXD1 = 1 MNXM444@MNXD1 + 1 MNXM509@MNXD1 + 1 WATER@MNXD1
