#query	mnx_id	reference	xrefs	name
NO3t7	MNXR101995	rheaR:28743	bigg.reaction:NO3t7 ... bigg.reaction:NO3t7pp ... bigg.reaction:R_NO3t7 ... bigg.reaction:R_NO3t7pp ... biggR:NO3t7 ... biggR:NO3t7pp ... biggR:R_NO3t7 ... biggR:R_NO3t7pp ... deprecated:MNXR3847 ... metacyc.reaction:TRANS-RXN0-239 ... metacycR:TRANS-RXN0-239 ... rhea:28743 ... rhea:28744 ... rhea:28745 ... rhea:28746 ... rheaR:28743 ... rheaR:28744 ... rheaR:28745 ... rheaR:28746 ... seed.reaction:rxn09004 ... seed.reaction:rxn10177 ... seedR:rxn09004 ... seedR:rxn10177	1 MNXM107@MNXD1 + 1 MNXM732398@MNXD2 = 1 MNXM107@MNXD2 + 1 MNXM732398@MNXD1
NP1_r				
NP2MSUCCS				
NT5C	MNXR188523	rheaR:30935	bigg.reaction:NT5C ... bigg.reaction:R_NT5C ... biggR:NT5C ... biggR:R_NT5C ... deprecated:MNXR102027 ... deprecated:MNXR188524 ... kegg.reaction:R03346 ... keggR:R03346 ... metacyc.reaction:RXN-14227 ... metacycR:RXN-14227 ... rhea:30935 ... rhea:30936 ... rhea:30937 ... rhea:30938 ... rheaR:30935 ... rheaR:30936 ... rheaR:30937 ... rheaR:30938 ... seed.reaction:rxn02400 ... seedR:rxn02400	1 MNXM1102169@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM1108016@MNXD1 + 1 WATER@MNXD1
NTD1	MNXR102028	rheaR:29355	bigg.reaction:NTD1 ... bigg.reaction:NTD1_1 ... bigg.reaction:NTD1m ... bigg.reaction:NTD1pp ... bigg.reaction:R_NTD1 ... bigg.reaction:R_NTD1_1 ... bigg.reaction:R_NTD1m ... bigg.reaction:R_NTD1pp ... biggR:NTD1 ... biggR:NTD1_1 ... biggR:NTD1m ... biggR:NTD1pp ... biggR:R_NTD1 ... biggR:R_NTD1_1 ... biggR:R_NTD1m ... biggR:R_NTD1pp ... deprecated:MNXR3871 ... kegg.reaction:R02102 ... keggR:R02102 ... metacyc.reaction:RXN-14143 ... metacycR:RXN-14143 ... rhea:29355 ... rhea:29356 ... rhea:29357 ... rhea:29358 ... rheaR:29355 ... rheaR:29356 ... rheaR:29357 ... rheaR:29358 ... sabiork.reaction:501 ... sabiorkR:501 ... seed.reaction:rxn01521 ... seed.reaction:rxn29956 ... seedR:rxn01521 ... seedR:rxn29956	1 MNXM234@MNXD1 + 1 WATER@MNXD1 = 1 MNXM492@MNXD1 + 1 MNXM9@MNXD1
NTD10	MNXR188525	rheaR:28530	bigg.reaction:NTD10 ... bigg.reaction:NTD10pp ... bigg.reaction:R_NTD10 ... bigg.reaction:R_NTD10pp ... biggR:NTD10 ... biggR:NTD10pp ... biggR:R_NTD10 ... biggR:R_NTD10pp ... deprecated:MNXR102029 ... deprecated:MNXR188526 ... kegg.reaction:R02719 ... keggR:R02719 ... metacyc.reaction:XMPXAN-RXN ... metacycR:XMPXAN-RXN ... rhea:28530 ... rhea:28531 ... rhea:28532 ... rhea:28533 ... rheaR:28530 ... rheaR:28531 ... rheaR:28532 ... rheaR:28533 ... sabiork.reaction:129 ... sabiorkR:129 ... seed.reaction:rxn01961 ... seed.reaction:rxn29979 ... seed.reaction:rxn31106 ... seed.reaction:rxn33762 ... seedR:rxn01961 ... seedR:rxn29979 ... seedR:rxn31106 ... seedR:rxn33762	1 MNXM1103769@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM1104385@MNXD1 + 1 WATER@MNXD1
NTD11	MNXR188527	rheaR:27718	bigg.reaction:NTD11 ... bigg.reaction:NTD11pp ... bigg.reaction:R_NTD11 ... bigg.reaction:R_NTD11pp ... biggR:NTD11 ... biggR:NTD11pp ... biggR:R_NTD11 ... biggR:R_NTD11pp ... deprecated:MNXR102030 ... deprecated:MNXR188528 ... kegg.reaction:R01126 ... keggR:R01126 ... metacyc.reaction:RXN-7607 ... metacycR:RXN-7607 ... rhea:27718 ... rhea:27719 ... rhea:27720 ... rhea:27721 ... rheaR:27718 ... rheaR:27719 ... rheaR:27720 ... rheaR:27721 ... sabiork.reaction:124 ... sabiorkR:124 ... seed.reaction:rxn00831 ... seed.reaction:rxn18974 ... seed.reaction:rxn30907 ... seedR:rxn00831 ... seedR:rxn18974 ... seedR:rxn30907	1 MNXM1101868@MNXD1 + 1 WATER@MNXD1 = 1 MNXM1103335@MNXD1 + 1 MNXM9@MNXD1
NTD2	MNXR188529	rheaR:29359	bigg.reaction:NTD2 ... bigg.reaction:NTD2e ... bigg.reaction:NTD2l ... bigg.reaction:NTD2m ... bigg.reaction:NTD2pp ... bigg.reaction:R_NTD2 ... bigg.reaction:R_NTD2e ... bigg.reaction:R_NTD2l ... bigg.reaction:R_NTD2m ... bigg.reaction:R_NTD2pp ... biggR:NTD2 ... biggR:NTD2e ... biggR:NTD2l ... biggR:NTD2m ... biggR:NTD2pp ... biggR:R_NTD2 ... biggR:R_NTD2e ... biggR:R_NTD2l ... biggR:R_NTD2m ... biggR:R_NTD2pp ... deprecated:MNXR102032 ... deprecated:MNXR188530 ... kegg.reaction:R00963 ... keggR:R00963 ... metacyc.reaction:RXN-14025 ... metacycR:RXN-14025 ... rhea:29359 ... rhea:29360 ... rhea:29361 ... rhea:29362 ... rheaR:29359 ... rheaR:29360 ... rheaR:29361 ... rheaR:29362 ... sabiork.reaction:210 ... sabiorkR:210 ... seed.reaction:rxn00708 ... seed.reaction:rxn18975 ... seed.reaction:rxn31059 ... seedR:rxn00708 ... seedR:rxn18975 ... seedR:rxn31059	1 MNXM1103104@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM1104823@MNXD1 + 1 WATER@MNXD1
NTD3	MNXR102033	rheaR:29363	bigg.reaction:NTD3 ... bigg.reaction:NTD3l ... bigg.reaction:NTD3pp ... bigg.reaction:R_NTD3 ... bigg.reaction:R_NTD3l ... bigg.reaction:R_NTD3pp ... biggR:NTD3 ... biggR:NTD3l ... biggR:NTD3pp ... biggR:R_NTD3 ... biggR:R_NTD3l ... biggR:R_NTD3pp ... deprecated:MNXR3876 ... kegg.reaction:R01664 ... keggR:R01664 ... metacyc.reaction:RXN0-5292 ... metacycR:RXN0-5292 ... rhea:29363 ... rhea:29364 ... rhea:29365 ... rhea:29366 ... rheaR:29363 ... rheaR:29364 ... rheaR:29365 ... rheaR:29366 ... sabiork.reaction:480 ... sabiorkR:480 ... seed.reaction:rxn01218 ... seed.reaction:rxn29952 ... seedR:rxn01218 ... seedR:rxn29952	1 MNXM266@MNXD1 + 1 WATER@MNXD1 = 1 MNXM704@MNXD1 + 1 MNXM9@MNXD1
NTD4	MNXR188531	rheaR:29367	bigg.reaction:NTD4 ... bigg.reaction:NTD4e ... bigg.reaction:NTD4l ... bigg.reaction:NTD4pp ... bigg.reaction:R_NTD4 ... bigg.reaction:R_NTD4e ... bigg.reaction:R_NTD4l ... bigg.reaction:R_NTD4pp ... biggR:NTD4 ... biggR:NTD4e ... biggR:NTD4l ... biggR:NTD4pp ... biggR:R_NTD4 ... biggR:R_NTD4e ... biggR:R_NTD4l ... biggR:R_NTD4pp ... deprecated:MNXR102034 ... deprecated:MNXR188532 ... kegg.reaction:R00511 ... keggR:R00511 ... metacyc.reaction:RXN-14026 ... metacycR:RXN-14026 ... rhea:29367 ... rhea:29368 ... rhea:29369 ... rhea:29370 ... rheaR:29367 ... rheaR:29368 ... rheaR:29369 ... rheaR:29370 ... sabiork.reaction:211 ... sabiorkR:211 ... seed.reaction:rxn00363 ... seed.reaction:rxn18972 ... seed.reaction:rxn32982 ... seedR:rxn00363 ... seedR:rxn18972 ... seedR:rxn32982	1 MNXM1103302@MNXD1 + 1 WATER@MNXD1 = 1 MNXM1104207@MNXD1 + 1 MNXM9@MNXD1
