#query	mnx_id	reference	xrefs	name
LPLIPAL2G180	MNXR101195	biggR:LPLIPAL2G180	bigg.reaction:LPLIPAL2G180 ... bigg.reaction:R_LPLIPAL2G180 ... biggR:LPLIPAL2G180 ... biggR:R_LPLIPAL2G180 ... deprecated:MNXR3323	1 MNXM1106891@MNXD1 + 1 MNXM236@MNXD1 = 1 MNXM729358@MNXD1 + 1 WATER@MNXD1
LPLIPAL2G181	MNXR101196	biggR:LPLIPAL2G181	bigg.reaction:LPLIPAL2G181 ... bigg.reaction:R_LPLIPAL2G181 ... biggR:LPLIPAL2G181 ... biggR:R_LPLIPAL2G181 ... deprecated:MNXR3324	1 MNXM1106891@MNXD1 + 1 MNXM1107708@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM3455@MNXD1 + 1 WATER@MNXD1
LTHRK	MNXR101251	rheaR:33707	bigg.reaction:LTHRK ... bigg.reaction:R_LTHRK ... biggR:LTHRK ... biggR:R_LTHRK ... deprecated:MNXR134668 ... deprecated:MNXR5062 ... kegg.reaction:R06531 ... keggR:R06531 ... metacyc.reaction:RXN-8626 ... metacycR:RXN-8626 ... rhea:33707 ... rhea:33708 ... rhea:33709 ... rhea:33710 ... rheaR:33707 ... rheaR:33708 ... rheaR:33709 ... rheaR:33710 ... sabiork.reaction:15510 ... sabiorkR:15510 ... seed.reaction:rxn04386 ... seed.reaction:rxn10609 ... seedR:rxn04386 ... seedR:rxn10609	1 MNXM142@MNXD1 + 1 MNXM3@MNXD1 = 1 MNXM1492@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM40333@MNXD1
LYSAM	MNXR101254	rheaR:19177	bigg.reaction:LYSAM ... bigg.reaction:R_LYSAM ... biggR:LYSAM ... biggR:R_LYSAM ... deprecated:MNXR3345 ... kegg.reaction:R00461 ... keggR:R00461 ... metacyc.reaction:LYSINE-23-AMINOMUTASE-RXN ... metacycR:LYSINE-23-AMINOMUTASE-RXN ... rhea:19177 ... rhea:19178 ... rhea:19179 ... rhea:19180 ... rheaR:19177 ... rheaR:19178 ... rheaR:19179 ... rheaR:19180 ... seed.reaction:rxn00321 ... seedR:rxn00321	1 MNXM1106164@MNXD1 = 1 MNXM1865@MNXD1
LYSDC	MNXR188327	rheaR:22352	bigg.reaction:LYSDC ... bigg.reaction:R_LYSDC ... biggR:LYSDC ... biggR:R_LYSDC ... deprecated:MNXR101256 ... deprecated:MNXR188328 ... kegg.reaction:R00462 ... keggR:R00462 ... metacyc.reaction:LYSDECARBOX-RXN ... metacycR:LYSDECARBOX-RXN ... rhea:22352 ... rhea:22353 ... rhea:22354 ... rhea:22355 ... rheaR:22352 ... rheaR:22353 ... rheaR:22354 ... rheaR:22355 ... sabiork.reaction:899 ... sabiorkR:899 ... seed.reaction:rxn00322 ... seed.reaction:rxn20057 ... seedR:rxn00322 ... seedR:rxn20057	1 MNXM1106164@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM13@MNXD1 + 1 MNXM943@MNXD1
LYSt2r	MNXR101266	rheaR:28911	bigg.reaction:LYSt2m ... bigg.reaction:LYSt2pp ... bigg.reaction:LYSt2r ... bigg.reaction:LYSt_h ... bigg.reaction:R_LYSt2m ... bigg.reaction:R_LYSt2pp ... bigg.reaction:R_LYSt2r ... bigg.reaction:R_LYSt_h ... biggR:LYSt2m ... biggR:LYSt2pp ... biggR:LYSt2r ... biggR:LYSt_h ... biggR:R_LYSt2m ... biggR:R_LYSt2pp ... biggR:R_LYSt2r ... biggR:R_LYSt_h ... deprecated:MNXR3355 ... metacyc.reaction:TRANS-RXN-58 ... metacycR:TRANS-RXN-58 ... rhea:28911 ... rhea:28912 ... rhea:28913 ... rhea:28914 ... rheaR:28911 ... rheaR:28912 ... rheaR:28913 ... rheaR:28914 ... seed.reaction:rxn08854 ... seed.reaction:rxn09674 ... seed.reaction:rxn09740 ... seedR:rxn08854 ... seedR:rxn09674 ... seedR:rxn09740	1 MNXM01@MNXD1 + 1 MNXM1106164@MNXD1 = 1 MNXM01@MNXD2 + 1 MNXM1106164@MNXD2
L_AROND				
L_LACD2	MNXR101273	seedR:rxn08792	bigg.reaction:L_LACD2 ... bigg.reaction:R_L_LACD2 ... biggR:L_LACD2 ... biggR:R_L_LACD2 ... seed.reaction:rxn08792 ... seed.reaction:rxn38847 ... seedR:rxn08792 ... seedR:rxn38847	1 MNXM191@MNXD1 + 1 MNXM23@MNXD1 = 1 MNXM232@MNXD1 + 1 MNXM731835@MNXD1
L_LACD3	MNXR101275	seedR:rxn08793	bigg.reaction:L_LACD3 ... bigg.reaction:R_L_LACD3 ... biggR:L_LACD3 ... biggR:R_L_LACD3 ... deprecated:MNXR69304 ... seed.reaction:rxn08793 ... seedR:rxn08793	1 MNXM223@MNXD1 + 1 MNXM23@MNXD1 = 1 MNXM509@MNXD1 + 1 MNXM731835@MNXD1
L_LACDr				
